자치구,동,법정동코드,단지기본일련번호,아파트,면적일련번호,공급면적_㎡,전용면적_㎡,주택형,시작가격_만원,종료가격_만원,연평균상승률,준공연도,세대수
강남구,논현동,1168010800,14802,논현동월드메르디앙,173694,105.65,84.99,C,67500,155000,0.0866827985634193,2007,82
강남구,논현동,1168010800,14802,논현동월드메르디앙,62419,105.02,84.99,A,67500,155000,0.0866827985634193,2007,82
강남구,논현동,1168010800,14802,논현동월드메르디앙,185949,105.85,84.99,D,67500,155000,0.0866827985634193,2007,82
강남구,논현동,1168010800,14802,논현동월드메르디앙,210681,144.5,115.75,A,78000,180000,0.0872208946249377,2007,82
강남구,논현동,1168010800,14802,논현동월드메르디앙,213753,144.15,115.93,B,78000,180000,0.0872208946249377,2007,82
강남구,논현동,1168010800,14802,논현동월드메르디앙,102870,144.01,115.94,C,78000,180000,0.0872208946249377,2007,82
강남구,논현동,1168010800,12572,논현동한진로즈힐,12373,92.44,71.54,,49500,150000,0.117245479191915,2004,81
강남구,논현동,1168010800,12572,논현동한진로즈힐,60481,111.21,84.94,,65000,195000,0.1161231740339043,2004,81
강남구,논현동,1168010800,12572,논현동한진로즈힐,101377,132.97,103.96,,72000,205000,0.1103045932474904,2004,81
강남구,논현동,1168010800,13425,논현동한화꿈에그린,13210,89.17,67.67,,59250,130000,0.0817465026226369,2005,70
강남구,논현동,1168010800,36289,논현두산위브(1단지),166124,107.81,84.87,D,79500,210000,0.102009190911172,2004,130
강남구,논현동,1168010800,36289,논현두산위브(1단지),117971,108.01,84.91,B,79500,210000,0.102009190911172,2004,130
강남구,논현동,1168010800,36289,논현두산위브(1단지),80824,107.83,84.99,A,79500,210000,0.102009190911172,2004,130
강남구,논현동,1168010800,36289,논현두산위브(1단지),191249,139.46,110.77,,103250,230000,0.0833873930530044,2004,130
강남구,논현동,1168010800,36289,논현두산위브(1단지),198979,140.87,111.38,,107500,230000,0.0790260688033626,2004,130
강남구,논현동,1168010800,9,논현베르빌,184190,133.89,111.08,,64500,140000,0.0805797686050278,2002,65
강남구,논현동,1168010800,9,논현베르빌,127751,131.14,111.36,A,64500,140000,0.0805797686050278,2002,65
강남구,논현동,1168010800,9,논현베르빌,153073,130.84,111.6,B,64500,140000,0.0805797686050278,2002,65
강남구,논현동,1168010800,9,논현베르빌,9,133.2,113.84,C,64500,140000,0.0805797686050278,2002,65
강남구,논현동,1168010800,9,논현베르빌,49372,155.67,129.76,A,67500,145000,0.0794596743914788,2002,65
강남구,논현동,1168010800,9,논현베르빌,171087,155.7,132.59,B,67500,145000,0.0794596743914788,2002,65
강남구,논현동,1168010800,1,동현,1,102.47,84.92,,84000,275000,0.1259143148459498,1986,548
강남구,논현동,1168010800,1,동현,127745,141.66,119.67,,107000,355000,0.1274166843311754,1986,548
강남구,논현동,1168010800,1,동현,49364,140.95,120.58,,107000,355000,0.1274166843311754,1986,548
강남구,논현동,1168010800,1,동현,93339,175.38,150.04,,123000,390000,0.1223180549613591,1986,548
강남구,논현동,1168010800,4,쌍용,4,83.17,59.91,,43500,116500,0.103528787133301,1996,111
강남구,논현동,1168010800,4,쌍용,153070,117.82,84.87,,53500,137500,0.0989929124608355,1996,111
강남구,논현동,1168010800,29686,아크로힐스논현,189893,112.21,84.01,C,113000,295000,0.1007136627607894,2014,368
강남구,논현동,1168010800,29686,아크로힐스논현,28580,109.73,84.07,A,113000,295000,0.1007136627607894,2014,368
강남구,논현동,1168010800,29686,아크로힐스논현,75029,109.73,84.07,,113000,295000,0.1007136627607894,2014,368
강남구,논현동,1168010800,29686,아크로힐스논현,197976,111.6,84.13,D,113000,295000,0.1007136627607894,2014,368
강남구,논현동,1168010800,29686,아크로힐스논현,113268,111.02,84.2,B,113000,295000,0.1007136627607894,2014,368
강남구,논현동,1168010800,29686,아크로힐스논현,178808,148.25,113.08,B,150500,347500,0.0872810801225774,2014,368
강남구,논현동,1168010800,29686,아크로힐스논현,142308,147.65,113.23,,150500,347500,0.0872810801225774,2014,368
강남구,논현동,1168010800,29686,아크로힐스논현,163500,147.65,113.23,A,150500,347500,0.0872810801225774,2014,368
강남구,논현동,1168010800,8,우민,8,99.54,74.75,,52000,136500,0.1013184903386179,2002,70
강남구,논현동,1168010800,5,청학,5,87.15,85.12,,61500,135000,0.0817972304953771,1976,70
강남구,논현동,1168010800,5,청학,49368,99.65,97.18,,73500,155000,0.077468136721168,1976,70
강남구,대치동,1168010600,187,개포우성1차,1708325,84.8,84.8,,144000,405000,0.1089430746998159,1983,690
강남구,대치동,1168010600,187,개포우성1차,183,101.19,84.81,,144000,405000,0.1089430746998159,1983,690
강남구,대치동,1168010600,187,개포우성1차,1708323,100.88,94.53,,144000,405000,0.1089430746998159,1983,690
강남구,대치동,1168010600,187,개포우성1차,49531,146.12,127.61,A,189000,510000,0.1043604300480764,1983,690
강남구,대치동,1168010600,187,개포우성1차,1708320,146.12,127.62,B,189000,510000,0.1043604300480764,1983,690
강남구,대치동,1168010600,187,개포우성1차,1708321,146.43,136.9,,189000,510000,0.1043604300480764,1983,690
강남구,대치동,1168010600,187,개포우성1차,1708322,169.81,158.53,,210000,585000,0.1078823846485299,1983,690
강남구,대치동,1168010600,187,개포우성1차,93472,169.82,158.54,,210000,585000,0.1078823846485299,1983,690
강남구,대치동,1168010600,187,개포우성1차,1708319,179.1,167.82,,210000,585000,0.1078823846485299,1983,690
강남구,대치동,1168010600,187,개포우성1차,1708324,213.68,200.29,,262500,665000,0.0974108096843151,1983,690
강남구,대치동,1168010600,200,개포우성2차,196,101.09,94.74,,144000,405000,0.1089430746998159,1984,450
강남구,대치동,1168010600,200,개포우성2차,49541,146.6,137.36,,187500,510000,0.1052407538560173,1984,450
강남구,대치동,1168010600,200,개포우성2차,93479,180.54,169.18,,215000,585000,0.1052785469714585,1984,450
강남구,대치동,1168010600,189,대치삼성(래미안),185,85.68,59.88,,77000,250000,0.1249803283595221,2000,960
강남구,대치동,1168010600,189,대치삼성(래미안),49533,108.21,84.58,,106000,340000,0.1236144227366182,2000,960
강남구,대치동,1168010600,189,대치삼성(래미안),93473,124.57,97.35,,120000,375000,0.1206887238456493,2000,960
강남구,대치동,1168010600,189,대치삼성(래미안),127848,133.46,108.52,,129000,392500,0.1176993415370259,2000,960
강남구,대치동,1168010600,189,대치삼성(래미안),153144,139.27,109.04,,128000,392500,0.1185694893985378,2000,960
강남구,대치동,1168010600,14992,대치아이파크,14752,78.71,59.96,,91500,305000,0.1279448730054992,2007,768
강남구,대치동,1168010600,14992,대치아이파크,134155,107.35,84.93,C,122500,390000,0.1227753047440221,2007,768
강남구,대치동,1168010600,14992,대치아이파크,62592,108.03,84.95,A,122500,390000,0.1227753047440221,2007,768
강남구,대치동,1168010600,14992,대치아이파크,103010,108.17,84.95,B,122500,390000,0.1227753047440221,2007,768
강남구,대치동,1168010600,14992,대치아이파크,157080,111.3,84.98,,124500,390000,0.1209584769469747,2007,768
강남구,대치동,1168010600,14992,대치아이파크,173753,147.99,114.97,,165000,440000,0.1030542524220698,2007,768
강남구,대치동,1168010600,14992,대치아이파크,185990,154.27,119.58,,170000,460000,0.1046657552143379,2007,768
강남구,대치동,1168010600,14992,대치아이파크,194910,179.41,149.78,,192500,515000,0.1034118647445729,2007,768
강남구,대치동,1168010600,13451,대치한신휴플러스,13236,85.9,68.4,,68000,172500,0.0975593622660235,2005,66
강남구,대치동,1168010600,13451,대치한신휴플러스,61224,92.77,74.15,,73000,180000,0.0944475779817166,2005,66
강남구,대치동,1168010600,13451,대치한신휴플러스,101943,101.43,81.07,,76500,185000,0.0923228768871156,2005,66
강남구,대치동,1168010600,13451,대치한신휴플러스,133360,105.97,84.99,,81000,190000,0.0889974384550142,2005,66
강남구,대치동,1168010600,190,대치현대,186,88.68,59.82,,66500,249000,0.141136955603216,1999,630
강남구,대치동,1168010600,190,대치현대,49534,111.62,85.0,,93500,315000,0.1291454641818572,1999,630
강남구,대치동,1168010600,190,대치현대,93474,129.45,101.6,,104000,345000,0.1274014150273035,1999,630
강남구,대치동,1168010600,190,대치현대,127849,143.66,114.59,,118000,370000,0.1210680400693253,1999,630
