자치구,동,법정동코드,단지기본일련번호,아파트,매물종별구분,매물종별구분명,면적일련번호,공급면적_㎡,전용면적_㎡,주택형,KB일반가_만원,시세기준월,세대수
강남구,대치동,1168010600,23668,대치주성,1,아파트,69814,92.01,83.51,A,,202607,
강남구,대치동,1168010600,23668,대치주성,1,아파트,109038,92.4,83.87,B,,202607,
강남구,대치동,1168010600,189,대치삼성(래미안),1,아파트,49533,108.21,84.58,,340000.0,202607,960.0
강남구,대치동,1168010600,313482,대치푸르지오써밋,1,아파트,1083839,108.13,84.97,A,,202607,
강남구,대치동,1168010600,313482,대치푸르지오써밋,1,아파트,1083620,109.0,84.96,B,,202607,
강남구,대치동,1168010600,313482,대치푸르지오써밋,1,아파트,1083621,110.08,84.93,C,,202607,
강남구,대치동,1168010600,13451,대치한신휴플러스,1,아파트,133360,105.97,84.99,,190000.0,202607,66.0
강남구,대치동,1168010600,14992,대치아이파크,1,아파트,134155,107.35,84.93,C,390000.0,202607,768.0
강남구,대치동,1168010600,14992,대치아이파크,1,아파트,62592,108.03,84.95,A,390000.0,202607,768.0
강남구,대치동,1168010600,14992,대치아이파크,1,아파트,103010,108.17,84.95,B,390000.0,202607,768.0
강남구,대치동,1168010600,14992,대치아이파크,1,아파트,157080,111.3,84.98,,390000.0,202607,768.0
강남구,대치동,1168010600,191,대치효성,1,아파트,49535,112.09,84.91,A,222500.0,202607,83.0
강남구,대치동,1168010600,191,대치효성,1,아파트,93475,112.12,84.94,B,222500.0,202607,83.0
강남구,대치동,1168010600,190,대치현대,1,아파트,49534,111.62,85.0,,315000.0,202607,630.0
강남구,대치동,1168010600,1682099,디에이치대치에델루이,1,아파트,4868304,110.93,84.99,B,,202607,
강남구,대치동,1168010600,1682099,디에이치대치에델루이,1,아파트,5305581,111.34,84.99,A,,202607,
강남구,대치동,1168010600,1682099,디에이치대치에델루이,1,아파트,5305573,115.86,84.99,P,,202607,
강남구,대치동,1168010600,36794,래미안대치팰리스2단지,1,아파트,146037,118.76,84.99,D,405000.0,202607,330.0
강남구,대치동,1168010600,36794,래미안대치팰리스2단지,1,아파트,166204,118.94,84.99,E,405000.0,202607,330.0
강남구,대치동,1168010600,29017,래미안대치팰리스1단지,1,아파트,112788,111.83,84.99,C,435000.0,202607,1278.0
강남구,대치동,1168010600,29017,래미안대치팰리스1단지,1,아파트,141940,112.24,84.98,B,435000.0,202607,1278.0
강남구,대치동,1168010600,29017,래미안대치팰리스1단지,1,아파트,163224,113.15,84.97,A,435000.0,202607,1278.0
강남구,대치동,1168010600,203,롯데캐슬,1,아파트,199,110.72,84.75,,252500.0,202607,142.0
강남구,대치동,1168010600,24759,메트로,1,아파트,139514,96.49,84.67,,,202607,
강남구,대치동,1168010600,36403,"선경(1,2차)",1,아파트,1249081,102.27,84.55,B,410000.0,202607,1034.0
강남구,대치동,1168010600,207,세연파크뷰,1,아파트,127855,94.53,83.58,,148400.0,202607,19.0
강남구,대치동,1168010600,18166,스카이써밋,1,아파트,136166,91.79,83.72,,134600.0,202607,10.0
강남구,대치동,1168010600,199,세영팔레스타운,1,아파트,93478,103.37,84.85,,210000.0,202607,67.0
강남구,대치동,1168010600,15274,우정에쉐르,1,아파트,15026,103.62,84.93,,151700.0,202607,19.0
강남구,대치동,1168010600,186,은마,1,아파트,49530,115.54,84.43,,382667.0,202607,4424.0
강남구,대치동,1168010600,14878,청원,1,아파트,194892,91.92,84.73,A,,202607,
강남구,대치동,1168010600,14878,청원,1,아파트,62487,92.11,84.9,B,,202607,
강남구,대치동,1168010600,345179,한보미도맨션,1,아파트,1215165,113.31,84.48,,398333.0,202607,2436.0
