시작연도,매수기간(개월),매수전략,경과개월,날짜,월봉종가(달러),원달러환율,매수신호,인출전현금(원),인출전보유수량,요청인출액(원),실제인출액(원),매도수량,매수액(원),월말현금(원),월말보유수량,월말주식평가액(원),월말총잔액(원)
2013,24,24개월,8,2013-08-31,67.86092376708984,1109.42,분할매수,59666666.66666664,483.3065040953525,1000000.0,1000000.0,0.0,4166666.6666666665,54499999.99999998,538.6508170160952,40553008.71559923,95053008.71559921
2013,24,24개월,9,2013-09-30,71.14010620117188,1073.33,분할매수,54499999.99999998,538.6508170160952,1000000.0,1000000.0,0.0,4166666.6666666665,49333333.33333331,593.2191869670988,45296324.85966261,94629658.19299592
2013,24,24개월,10,2013-10-31,74.66642761230469,1060.83,분할매수,49333333.33333331,593.2191869670988,1000000.0,1000000.0,0.0,4166666.6666666665,44166666.66666665,645.8230444098796,51154601.25020032,95321267.91686696
2013,24,24개월,11,2013-11-30,77.31794738769531,1057.76,분할매수,44166666.66666665,645.8230444098796,1000000.0,1000000.0,0.0,4166666.6666666665,38999999.999999985,696.7703595858052,56984550.05101806,95984550.05101804
2013,24,24개월,12,2013-12-31,79.58113098144531,1055.25,분할매수,38999999.999999985,696.7703595858052,1000000.0,1000000.0,0.0,4166666.6666666665,33833333.33333332,746.3865357132668,62680039.88892619,96513373.22225952
2013,24,24개월,13,2014-01-31,78.0521240234375,1080.36,분할매수,33833333.33333332,746.3865357132668,1000000.0,1000000.0,0.0,4166666.6666666665,28666666.666666653,795.7988888030563,67105258.01757946,95771924.68424611
2013,24,24개월,14,2014-02-28,82.0737075805664,1066.01,분할매수,28666666.666666653,795.7988888030563,1000000.0,1000000.0,0.0,4166666.6666666665,23499999.999999985,843.4226209547592,73792220.0101904,97292220.01019038
2013,24,24개월,15,2014-03-31,79.83016204833984,1064.65,분할매수,23499999.999999985,843.4226209547592,1000000.0,1000000.0,0.0,4166666.6666666665,18333333.333333317,892.4473146630144,75850152.168037,94183485.50137031
2013,24,24개월,16,2014-04-30,79.57520294189453,1032.85,분할매수,18333333.333333317,892.4473146630144,1000000.0,1000000.0,0.0,4166666.6666666665,13166666.666666651,943.1433211344489,77516240.65841347,90682907.32508013
2013,24,24개월,17,2014-05-31,83.1446304321289,1020.3,분할매수,13166666.666666651,943.1433211344489,1000000.0,1000000.0,0.0,4166666.6666666665,7999999.999999985,992.2597366062267,84175840.79539026,92175840.79539025
2013,24,24개월,18,2014-06-30,85.7419204711914,1011.6,분할매수,7999999.999999985,992.2597366062267,1000000.0,1000000.0,0.0,4166666.6666666665,2833333.3333333186,1040.2979371528168,90231829.85242823,93065163.18576154
2013,24,24개월,19,2014-07-31,86.75538635253906,1027.75,분할매수,2833333.3333333186,1040.2979371528168,1000000.0,1000000.0,0.0,1833333.3333333186,0.0,1060.859565317442,94589260.51527484,94589260.51527484
2013,24,24개월,20,2014-08-31,91.10137176513672,1013.85,분할매수,0.0,1060.859565317442,1000000.0,1000000.0,10.826831505835179,0.0,0.0,1050.032733811607,96984305.44944625,96984305.44944625
2013,24,24개월,21,2014-09-30,90.41204833984375,1054.55,분할매수,0.0,1050.032733811607,1000000.0,1000000.0,10.488334155711543,0.0,0.0,1039.5443996558954,99114347.82899241,99114347.82899241
2013,24,24개월,22,2014-10-31,92.80071258544922,1073.07,분할매수,0.0,1039.5443996558954,1000000.0,1000000.0,10.042009677603716,0.0,0.0,1029.5023899782916,102519557.6413702,102519557.6413702
2013,24,24개월,23,2014-11-30,97.019775390625,1112.06,분할매수,0.0,1029.5023899782916,1000000.0,1000000.0,9.268543987076873,0.0,0.0,1020.2338459912147,110074877.71690206,110074877.71690206
2013,24,24개월,24,2014-12-31,94.84593963623047,1090.89,분할매수,0.0,1020.2338459912147,1000000.0,1000000.0,9.664965228136145,0.0,0.0,1010.5688807630786,104560012.05479383,104560012.05479383
2013,24,24개월,25,2015-01-31,92.87093353271484,1104.3,분할매수,0.0,1010.5688807630786,1000000.0,1000000.0,9.750639875730613,0.0,0.0,1000.818240887348,102641288.53516468,102641288.53516468
2013,24,24개월,26,2015-02-28,99.57672119140625,1100.65,분할매수,0.0,1000.818240887348,1000000.0,1000000.0,9.12416100249861,0.0,0.0,991.6940798848494,108688796.65903291,108688796.65903291
2013,24,24개월,27,2015-03-31,97.22774505615234,1107.71,분할매수,0.0,991.6940798848494,1000000.0,1000000.0,9.28503852598271,0.0,0.0,982.4090413588667,105805596.67143552,105805596.67143552
2013,24,24개월,28,2015-04-30,99.0967788696289,1076.74,분할매수,0.0,982.4090413588667,1000000.0,1000000.0,9.371942490445559,0.0,0.0,973.0370988684211,103824484.61035755,103824484.61035755
2013,24,24개월,29,2015-05-31,101.32493591308594,1111.99,분할매수,0.0,973.0370988684211,1000000.0,1000000.0,8.875294660331368,0.0,0.0,964.1618042080897,108634342.98327756,108634342.98327756
