start_year,date,usdkrw,monthly_return,balance_before_withdrawal_usd,requested_withdrawal_krw,withdrawal_usd,withdrawal_krw,ending_balance_usd,ending_balance_krw
2002,2004-10-31,1120.0,0.0500852460299972,38790.51686746484,1000000,892.8571428571429,1000000.0,37897.65972460769,42445378.891560614
2002,2004-11-30,1048.0,0.06016225106132311,40177.668243596134,1000000,954.1984732824427,1000000.0,39223.46977031369,41106196.319288746
2002,2004-12-31,1035.1,0.030223860741775743,40408.9544584609,1000000,966.0902328277461,1000000.0,39442.86422563316,40827308.75995288
2002,2005-01-31,1026.85,-0.06312655549361179,36952.97206826673,1000000,973.852071870283,1000000.0,35979.11999639645,36945159.368299685
2002,2005-02-28,1000.85,-0.004812473647889504,35805.97142953953,1000000,999.1507218863966,1000000.0,34806.82070765313,34836406.50525464
2002,2005-03-31,1015.4,-0.017463792725547322,34198.96160537939,1000000,984.8335631278314,1000000.0,33214.128042251556,33725625.61410223
2002,2005-04-30,997.0,-0.04347840209213183,31770.030828090992,1000000,1003.0090270812437,1000000.0,30767.02180100975,30674720.73560672
2002,2005-05-31,1005.0,0.08862187384131648,33493.65292553187,1000000,995.0248756218906,1000000.0,32498.628049909978,32661121.190159526
2002,2005-06-30,1034.5,-0.033245372398692075,31418.19905794414,1000000,966.6505558240696,1000000.0,30451.548502120073,31502126.925443217
2002,2005-07-31,1026.5,0.07612768726278474,32769.75446315699,1000000,974.184120798831,1000000.0,31795.570342358158,32638152.956430648
2002,2005-08-31,1039.0,-0.015158898699413115,31313.584512448288,1000000,962.4639076034649,1000000.0,30351.120604844822,31534814.30843377
2002,2005-09-30,1042.4,0.012314310815286778,30724.873737565136,1000000,959.3246354566385,1000000.0,29765.549102108496,31027608.3840379
2002,2005-10-31,1043.5,-0.014951795674945645,29320.500693781207,1000000,958.3133684714902,1000000.0,28362.18732530972,29595942.47396069
2002,2005-11-30,1037.4,0.06097201713007916,30091.487096755016,1000000,963.948332369385,1000000.0,29127.53876438563,30216908.714173656
2002,2005-12-31,1010.0,-0.01776201383831899,28610.17501777644,1000000,990.0990099009902,1000000.0,27620.07600787545,27896276.767954204
2002,2006-01-31,958.9,0.039346612564484795,28706.832437558947,1000000,1042.8616122640526,1000000.0,27663.970825294895,26526981.624375273
2002,2006-02-28,970.9,-0.021428623853172013,27071.170000194525,1000000,1029.9721907508497,999999.9999999999,26041.197809443674,25283398.953188863
2002,2006-03-31,971.4,0.020910234906168057,26585.725372877132,1000000,1029.4420424130121,1000000.0,25556.28333046412,24825373.627212845
2002,2006-04-30,942.8,-0.0019081850192037564,25507.517213466403,1000000,1060.6703436571913,999999.9999999999,24446.84686980921,23048487.228856124
2002,2006-05-31,945.3,-0.07240153317881781,22676.857675047242,1000000,1057.8652279699568,1000000.0000000001,21618.992447077286,20436433.560222156
2002,2006-06-30,948.5,-0.0006157180135699658,21605.68124399239,1000000,1054.2962572482868,1000000.0,20551.384986744102,19492988.65992678
2002,2006-07-31,954.9,-0.04307416930709762,19666.151150329744,1000000,1047.2300764477957,1000000.0000000001,18618.92107388195,17779207.733449873
2002,2006-08-31,961.1,0.04770840066198789,19507.20002036864,1000000,1040.4744563520965,999999.9999999999,18466.725564016542,17748369.939576298
2002,2006-09-30,946.0,0.04639545559252767,19323.497709861265,1000000,1057.0824524312895,999999.9999999999,18266.415257429977,17280028.833528757
2002,2006-10-31,942.2,0.04747958280208109,19133.69703314232,1000000,1061.3457864572276,999999.9999999999,18072.351246685095,17027769.3446267
2002,2006-11-30,929.0,0.03428813949609033,18692.018547253774,1000000,1076.4262648008612,1000000.0,17615.59228245291,16364885.230398756
