시작연도,종목,경과개월,날짜,월봉종가(달러),원달러환율,매수신호,인출전현금(원),인출전보유수량,요청인출액(원),실제인출액(원),매도수량,매수액(원),월말현금(원),월말보유수량,월말주식평가액(원),월말총잔액(원)
2009,QQQ,31,2011-07-31,50.93915557861328,1054.0,분할매수,0.0,1946.9633142504456,1000000.0,1000000.0,18.625487459275785,0.0,0.0,1928.3378267911698,103532207.19766061,103532207.19766061
2009,QQQ,32,2011-08-31,48.3570556640625,1063.9,분할매수,0.0,1928.3378267911698,1000000.0,1000000.0,19.437452325967463,0.0,0.0,1908.9003744652023,98207334.0915675,98207334.0915675
2009,QQQ,33,2011-09-30,46.18540954589844,1180.9,분할매수,0.0,1908.9003744652023,1000000.0,1000000.0,18.335049143725616,0.0,0.0,1890.5653253214766,103112094.79187252,103112094.79187252
2009,QQQ,34,2011-10-31,50.98963928222656,1112.05,분할매수,0.0,1890.5653253214766,1000000.0,1000000.0,17.635742373125403,0.0,0.0,1872.9295829483513,106200779.26532055,106200779.26532055
2009,QQQ,35,2011-11-30,49.61699295043945,1140.05,분할매수,0.0,1872.9295829483513,1000000.0,1000000.0,17.678510095185096,0.0,0.0,1855.251072853166,104943859.11844803,104943859.11844803
2009,QQQ,36,2011-12-31,49.31224060058594,1158.5,분할매수,0.0,1855.251072853166,1000000.0,1000000.0,17.50448048400194,0.0,0.0,1837.746592369164,104987211.36275685,104987211.36275685
2009,QQQ,37,2012-01-31,53.46355056762695,1125.7,분할매수,0.0,1837.746592369164,1000000.0,1000000.0,16.615734214549132,0.0,0.0,1821.130858154615,109602791.82607467,109602791.82607467
2009,QQQ,38,2012-02-29,56.890602111816406,1117.1,분할매수,0.0,1821.130858154615,1000000.0,1000000.0,15.735024300751446,0.0,0.0,1805.3958338538635,114737403.60017395,114737403.60017395
2009,QQQ,39,2012-03-31,59.76530838012695,1131.4,분할매수,0.0,1805.3958338538635,1000000.0,1000000.0,14.788858746138748,0.0,0.0,1790.6069751077248,121078103.85133591,121078103.85133591
2009,QQQ,40,2012-04-30,59.06633758544922,1130.05,분할매수,0.0,1790.6069751077248,1000000.0,1000000.0,14.981741424725909,0.0,0.0,1775.625233682999,118519281.79407115,118519281.79407115
2009,QQQ,41,2012-05-31,54.90798568725586,1180.0,분할매수,0.0,1775.625233682999,1000000.0,1000000.0,15.434141619136811,0.0,0.0,1760.191092063862,114045285.80205579,114045285.80205579
2009,QQQ,42,2012-06-30,56.89643096923828,1141.17,분할매수,0.0,1760.191092063862,1000000.0,1000000.0,15.401557066783429,0.0,0.0,1744.7895349970786,113286567.54842469,113286567.54842469
2009,QQQ,43,2012-07-31,57.463993072509766,1130.27,분할매수,0.0,1744.7895349970786,1000000.0,1000000.0,15.396499717706176,0.0,0.0,1729.3930352793725,112323779.23474047,112323779.23474047
2009,QQQ,44,2012-08-31,60.443626403808594,1133.2,분할매수,0.0,1729.3930352793725,1000000.0,1000000.0,14.599666037959206,0.0,0.0,1714.7933692414133,117454287.29554099,117454287.29554099
2009,QQQ,45,2012-09-30,60.98060989379883,1111.21,분할매수,0.0,1714.7933692414133,1000000.0,1000000.0,14.757476330517633,0.0,0.0,1700.0358929108957,115198280.16903655,115198280.16903655
2009,QQQ,46,2012-10-31,57.76127243041992,1090.17,분할매수,0.0,1700.0358929108957,1000000.0,1000000.0,15.880677325439748,0.0,0.0,1684.1552155854558,106050590.98377092,106050590.98377092
2009,QQQ,47,2012-11-30,58.517189025878906,1081.75,분할매수,0.0,1684.1552155854558,1000000.0,1000000.0,15.797546422810653,0.0,0.0,1668.3576691626452,105608657.47820452,105608657.47820452
2009,QQQ,48,2012-12-31,58.24394226074219,1063.24,분할매수,0.0,1668.3576691626452,1000000.0,1000000.0,16.14796987586462,0.0,0.0,1652.2096992867805,102316867.81607369,102316867.81607369
2009,QQQ,49,2013-01-31,59.79996109008789,1087.46,분할매수,0.0,1652.2096992867805,1000000.0,1000000.0,15.377502535715454,0.0,0.0,1636.832196751065,106443305.27336244,106443305.27336244
2009,QQQ,50,2013-02-28,60.00567626953125,1083.9,분할매수,0.0,1636.832196751065,1000000.0,1000000.0,15.375117699310756,0.0,0.0,1621.4570790517544,105459815.7075859,105459815.7075859
2009,QQQ,51,2013-03-31,61.82069396972656,1112.48,분할매수,0.0,1621.4570790517544,1000000.0,1000000.0,14.540318243610999,0.0,0.0,1606.9167608081434,110514552.2873422,110514552.2873422
2009,QQQ,52,2013-04-30,63.389286041259766,1101.52,분할매수,0.0,1606.9167608081434,1000000.0,1000000.0,14.321607023548259,0.0,0.0,1592.5951537845951,111202266.00031514,111202266.00031514
