자치구,동,법정동코드,단지기본일련번호,아파트,매물종별구분,매물종별구분명,면적일련번호,공급면적_㎡,전용면적_㎡,주택형,KB일반가_만원,시세기준월
강남구,세곡동,1168011100,25358,강남엘에이치1단지(e편한세상),01,아파트,24296,81.87,59.89,A,162500.0,202607
강남구,세곡동,1168011100,25358,강남엘에이치1단지(e편한세상),01,아파트,71199,81.87,59.89,AN,162500.0,202607
강남구,세곡동,1168011100,25358,강남엘에이치1단지(e편한세상),01,아파트,139878,81.83,59.86,C,162500.0,202607
강남구,세곡동,1168011100,25358,강남엘에이치1단지(e편한세상),01,아파트,110176,82.0,59.99,B,162500.0,202607
강남구,세곡동,1168011100,24585,강남신동아파밀리에1단지,01,아파트,23532,86.88,59.97,A,145000.0,202607
강남구,세곡동,1168011100,24585,강남신동아파밀리에1단지,01,아파트,70537,86.89,59.88,B,145000.0,202607
강남구,수서동,1168011500,115,삼익,01,아파트,49468,86.06,60.0,,234500.0,202607
강남구,세곡동,1168011100,24932,세곡푸르지오,01,아파트,70830,80.26,59.89,A,155000.0,202607
강남구,세곡동,1168011100,24932,세곡푸르지오,01,아파트,109865,80.4,59.99,B,155000.0,202607
강남구,세곡동,1168011100,24932,세곡푸르지오,01,아파트,23874,80.22,59.86,C,155000.0,202607
강남구,수서동,1168011500,120,삼성,01,아파트,118,77.56,59.86,,231000.0,202607
강남구,신사동,1168010700,21248,대성아트빌,01,아파트,107461,70.38,59.22,,81100.0,202607
강남구,신사동,1168010700,104,대원칸타빌,01,아파트,102,85.08,59.73,,158000.0,202607
강남구,수서동,1168011500,28948,강남데시앙포레,01,아파트,27843,81.54,59.81,A,210000.0,202607
강남구,수서동,1168011500,28948,강남데시앙포레,01,아파트,74378,81.96,59.97,C,210000.0,202607
강남구,수서동,1168011500,28948,강남데시앙포레,01,아파트,112745,81.96,59.97,CN,210000.0,202607
강남구,수서동,1168011500,28948,강남데시앙포레,01,아파트,197842,81.96,59.97,T1,217500.0,202607
강남구,수서동,1168011500,28948,강남데시앙포레,01,아파트,189722,82.97,59.42,A1,210000.0,202607
강남구,수서동,1168011500,28948,강남데시앙포레,01,아파트,141903,82.1,59.74,B,210000.0,202607
강남구,수서동,1168011500,28948,강남데시앙포레,01,아파트,163190,82.12,59.62,B1,210000.0,202607
강남구,수서동,1168011500,28948,강남데시앙포레,01,아파트,178573,82.38,59.88,T3,215000.0,202607
강남구,신사동,1168010700,24430,우찬,01,아파트,177004,66.01,59.78,,81200.0,202607
강남구,신사동,1168010700,19702,청림쉐르빌,01,아파트,66562,68.68,58.77,,77700.0,202607
강남구,신사동,1168010700,113,신성,01,아파트,111,77.96,59.67,,170000.0,202607
강남구,역삼동,1168010100,46957,강남센트럴아이파크,01,아파트,215724,79.27,59.99,A,,202607
강남구,역삼동,1168010100,46957,강남센트럴아이파크,01,아파트,217813,79.93,59.94,B,,202607
강남구,역삼동,1168010100,46957,강남센트럴아이파크,01,아파트,205756,80.39,59.97,C,,202607
강남구,역삼동,1168010100,12233,갤러리빌,01,아파트,12038,66.15,59.35,,,202607
강남구,역삼동,1168010100,35,갤러리하우스,01,아파트,34,64.54,58.44,,75200.0,202607
강남구,역삼동,1168010100,14175,개나리푸르지오,01,아파트,61875,79.97,59.98,A,272500.0,202607
강남구,역삼동,1168010100,14175,개나리푸르지오,01,아파트,13949,79.81,59.68,B,272500.0,202607
강남구,역삼동,1168010100,14176,개나리래미안,01,아파트,102450,77.59,59.95,A,255000.0,202607
강남구,역삼동,1168010100,14176,개나리래미안,01,아파트,13950,77.36,59.7,B,255000.0,202607
강남구,역삼동,1168010100,14176,개나리래미안,01,아파트,61876,77.64,59.93,C,255000.0,202607
강남구,역삼동,1168010100,22099,뜨라네(828-21).,01,아파트,21359,68.99,58.52,A,,202607
강남구,역삼동,1168010100,22099,뜨라네(828-21).,01,아파트,68616,69.14,58.65,B,,202607
강남구,역삼동,1168010100,18,동부센트레빌,01,아파트,17,77.83,59.82,A,225000.0,202607
강남구,역삼동,1168010100,18,동부센트레빌,01,아파트,93353,78.03,59.97,B,225000.0,202607
강남구,역삼동,1168010100,21221,래미안그레이튼,01,아파트,20517,85.64,59.97,,272500.0,202607
강남구,역삼동,1168010100,22,대림역삼,01,아파트,21,78.01,59.66,A,192500.0,202607
강남구,역삼동,1168010100,22,대림역삼,01,아파트,93356,78.47,59.99,B,192500.0,202607
강남구,역삼동,1168010100,47837,비에네스타,01,아파트,125852,76.83,59.54,,140200.0,202607
강남구,역삼동,1168010100,12607,브라운스톤역삼,01,아파트,12406,76.67,59.96,,107800.0,202607
강남구,역삼동,1168010100,21222,래미안그레이튼(진달래2차),01,아파트,196343,86.0,59.78,A,267500.0,202607
강남구,역삼동,1168010100,21222,래미안그레이튼(진달래2차),01,아파트,67834,87.31,59.91,B,257500.0,202607
강남구,역삼동,1168010100,2144527,시티프라디움더강남,01,아파트,5498167,84.8,59.99,A,150000.0,202607
강남구,역삼동,1168010100,2144527,시티프라디움더강남,01,아파트,5498166,85.12,59.93,B,150000.0,202607
강남구,역삼동,1168010100,25867,에벤에셀빌라트,01,아파트,140195,67.16,58.36,,79600.0,202607
강남구,역삼동,1168010100,36285,"세방하이빌1,2",01,아파트,180729,75.71,59.77,,125000.0,202607
강남구,역삼동,1168010100,37,역삼동 칼라,01,아파트,184196,80.92,58.95,C,,202607
강남구,역삼동,1168010100,13850,역삼e-편한세상,01,아파트,13627,79.52,59.6,A,277500.0,202607
강남구,역삼동,1168010100,13850,역삼e-편한세상,01,아파트,61582,81.07,59.94,B,277500.0,202607
강남구,역삼동,1168010100,2093603,역삼센트럴,01,아파트,5300408,73.79,58.82,A,,202607
강남구,역삼동,1168010100,2093603,역삼센트럴,01,아파트,5300409,74.3,59.18,B,,202607
강남구,역삼동,1168010100,2093603,역삼센트럴,01,아파트,5300401,74.4,59.21,C,,202607
강남구,역삼동,1168010100,2093603,역삼센트럴,01,아파트,5300402,74.41,59.37,D,,202607
강남구,역삼동,1168010100,2093603,역삼센트럴,01,아파트,5300403,74.46,59.4,E,,202607
강남구,역삼동,1168010100,15141,역삼2차아이파크,01,아파트,14897,74.98,59.36,A,202500.0,202607
강남구,역삼동,1168010100,15141,역삼2차아이파크,01,아파트,62726,75.98,59.94,B,212500.0,202607
강남구,역삼동,1168010100,26,역삼한스빌,01,아파트,171093,86.0,59.42,,,202607
강남구,역삼동,1168010100,29462,역삼자이,01,아파트,113090,88.11,59.99,,255000.0,202607
강남구,역삼동,1168010100,13857,역삼푸르지오,01,아파트,13634,79.41,59.88,,267500.0,202607
강남구,역삼동,1168010100,13697,역삼래미안,01,아파트,13474,80.66,59.4,A,280000.0,202607
강남구,역삼동,1168010100,13697,역삼래미안,01,아파트,61444,80.89,59.53,C,280000.0,202607
강남구,역삼동,1168010100,13697,역삼래미안,01,아파트,102113,81.4,59.65,B,280000.0,202607
강남구,역삼동,1168010100,13697,역삼래미안,01,아파트,133477,81.24,59.73,D,280000.0,202607
강남구,역삼동,1168010100,14407,조이너스,01,아파트,62073,74.34,58.85,,99400.0,202607
강남구,역삼동,1168010100,34,지석천평대,01,아파트,33,69.43,59.35,A,,202607
강남구,역삼동,1168010100,34,지석천평대,01,아파트,49396,69.92,59.77,B,71100.0,202607
강남구,역삼동,1168010100,23288,테라힐스,01,아파트,138839,71.9,58.02,,89800.0,202607
강남구,역삼동,1168010100,20746,한양럭스,01,아파트,107114,91.04,59.78,,,202607
강남구,역삼동,1168010100,25648,테헤란아이파크,01,아파트,24577,82.91,59.77,A,245000.0,202607
강남구,역삼동,1168010100,25648,테헤란아이파크,01,아파트,71454,82.91,59.77,B,245000.0,202607
강남구,일원동,1168011400,45353,디에이치포레센트,01,아파트,44095,80.62,59.92,,,202607
강남구,율현동,1168011300,29886,강남한신휴플러스6단지,01,아파트,28778,85.94,59.68,B1,145000.0,202607
강남구,율현동,1168011300,29886,강남한신휴플러스6단지,01,아파트,75213,86.26,59.98,A1,145000.0,202607
강남구,일원동,1168011400,33251,래미안개포루체하임,01,아파트,32112,86.17,59.99,A,275000.0,202607
강남구,일원동,1168011400,33251,래미안개포루체하임,01,아파트,78191,86.65,59.98,C,275000.0,202607
강남구,일원동,1168011400,33251,래미안개포루체하임,01,아파트,115854,87.06,59.97,B,275000.0,202607
강남구,일원동,1168011400,127,청솔빌리지,01,아파트,124,79.81,59.75,,252500.0,202607
강남구,일원동,1168011400,130,푸른마을,01,아파트,127,82.14,59.76,,220000.0,202607
강남구,일원동,1168011400,126,수서,01,아파트,210175,85.04,59.94,,185000.0,202607
강남구,일원동,1168011400,126,수서,01,아파트,184219,88.11,59.96,,185000.0,202607
강남구,자곡동,1168011200,31944,강남자곡아이파크,01,아파트,1068067,81.53,59.96,A,182500.0,202607
강남구,자곡동,1168011200,429058,강남자곡힐스테이트,01,아파트,1264110,85.25,59.93,A,145000.0,202607
