시작연도,매수기간(개월),매수전략,경과개월,날짜,월봉종가(달러),원달러환율,한국CD91일물금리(%),매수신호,월초대기자금(원),대기자금이자(원),인출전대기자금(원),인출전보유수량,요청인출액(원),실제인출액(원),매도수량,매수액(원),월말현금(원),월말보유수량,월말주식평가액(원),월말총잔액(원)
2009,6,6개월,70,2014-10-31,92.80071258544922,1073.07,2.21,매수완료,0.0,0.0,0.0,1598.693565199747,1000000.0,1000000.0,10.042009677603716,0.0,0.0,1588.651555522143,158200560.0995633,158200560.0995633
2009,6,6개월,71,2014-11-30,97.019775390625,1112.06,2.14,매수완료,0.0,0.0,0.0,1588.651555522143,1000000.0,1000000.0,9.268543987076873,0.0,0.0,1579.3830115350663,170402494.04191202,170402494.04191202
2009,6,6개월,72,2014-12-31,94.8459243774414,1090.89,2.13,매수완료,0.0,0.0,0.0,1579.3830115350663,1000000.0,1000000.0,9.664966783033382,0.0,0.0,1569.718044752033,162413185.68291774,162413185.68291774
2009,6,6개월,73,2015-01-31,92.87091064453125,1104.3,2.13,매수완료,0.0,0.0,0.0,1569.718044752033,1000000.0,1000000.0,9.750642278791313,0.0,0.0,1559.9674024732417,159986117.61876827,159986117.61876827
2009,6,6개월,74,2015-02-28,99.57671356201172,1100.65,2.12,매수완료,0.0,0.0,0.0,1559.9674024732417,1000000.0,1000000.0,9.124161701575952,0.0,0.0,1550.8432407716657,169971038.60005018,169971038.60005018
2009,6,6개월,75,2015-03-31,97.22772979736328,1107.71,1.95,매수완료,0.0,0.0,0.0,1550.8432407716657,1000000.0,1000000.0,9.28503998316416,0.0,0.0,1541.5582007885016,166026016.4289749,166026016.4289749
2009,6,6개월,76,2015-04-30,99.09678649902344,1076.74,1.81,매수완료,0.0,0.0,0.0,1541.5582007885016,1000000.0,1000000.0,9.37194176890605,0.0,0.0,1532.1862590195956,163486532.1189935,163486532.1189935
2009,6,6개월,77,2015-05-31,101.32493591308594,1111.99,1.8,매수완료,0.0,0.0,0.0,1532.1862590195956,1000000.0,1000000.0,8.875294660331368,0.0,0.0,1523.3109643592643,171634973.5595584,171634973.5595584
2009,6,6개월,78,2015-06-30,98.80790710449219,1117.34,1.7,매수완료,0.0,0.0,0.0,1523.3109643592643,1000000.0,1000000.0,9.05780471482816,0.0,0.0,1514.2531596444362,167176618.10101894,167176618.10101894
2009,6,6개월,79,2015-07-31,103.31137084960938,1159.7,1.65,매수완료,0.0,0.0,0.0,1514.2531596444362,1000000.0,1000000.0,8.34653499387769,0.0,0.0,1505.9066246505586,180422969.0230933,180422969.0230933
2009,6,6개월,80,2015-08-31,96.26089477539062,1182.54,1.64,매수완료,0.0,0.0,0.0,1505.9066246505586,1000000.0,1000000.0,8.784848290149771,0.0,0.0,1497.1217763604088,170420902.7763284,170420902.7763284
2009,6,6개월,81,2015-09-30,94.13613891601562,1184.62,1.6,매수완료,0.0,0.0,0.0,1497.1217763604088,1000000.0,1000000.0,8.96735902885185,0.0,0.0,1488.154417331557,165952362.6235466,165952362.6235466
2009,6,6개월,82,2015-10-31,104.83932495117188,1140.5,1.58,매수완료,0.0,0.0,0.0,1488.154417331557,1000000.0,1000000.0,8.363354283034287,0.0,0.0,1479.7910630485226,176937507.72347328,176937507.72347328
2009,6,6개월,83,2015-11-30,105.47761535644531,1149.39,1.59,매수완료,0.0,0.0,0.0,1479.7910630485226,1000000.0,1000000.0,8.248448800059334,0.0,0.0,1471.5426142484632,178402345.69169876,178402345.69169876
2009,6,6개월,84,2015-12-31,103.79548645019531,1169.26,1.67,매수완료,0.0,0.0,0.0,1471.5426142484632,1000000.0,1000000.0,8.239681763625535,0.0,0.0,1463.3029324848376,177592166.11309645,177592166.11309645
2009,6,6개월,85,2016-01-31,96.62277221679688,1210.04,1.67,매수완료,0.0,0.0,0.0,1463.3029324848376,1000000.0,1000000.0,8.553045440492804,0.0,0.0,1454.7498870443449,170085602.51031774,170085602.51031774
2009,6,6개월,86,2016-02-29,95.11027526855469,1238.09,1.64,매수완료,0.0,0.0,0.0,1454.7498870443449,1000000.0,1000000.0,8.492202578385012,0.0,0.0,1446.2576844659598,170304190.35776216,170304190.35776216
2009,6,6개월,87,2016-03-31,101.62781524658203,1138.86,1.63,매수완료,0.0,0.0,0.0,1446.2576844659598,1000000.0,1000000.0,8.64006621985492,0.0,0.0,1437.617618246105,166389652.77169427,166389652.77169427
2009,6,6개월,88,2016-04-30,98.38915252685547,1144.09,1.61,매수완료,0.0,0.0,0.0,1437.617618246105,1000000.0,1000000.0,8.883673539652154,0.0,0.0,1428.7339447064528,160826930.24786633,160826930.24786633
2009,6,6개월,89,2016-05-31,102.68877410888672,1188.99,1.58,매수완료,0.0,0.0,0.0,1428.7339447064528,1000000.0,1000000.0,8.190281499384863,0.0,0.0,1420.543663207068,173442593.31181216,173442593.31181216
2009,6,6개월,90,2016-06-30,100.34949493408203,1154.15,1.43,매수완료,0.0,0.0,0.0,1420.543663207068,1000000.0,1000000.0,8.634208922489252,0.0,0.0,1411.9094542845787,163525050.98724476,163525050.98724476
2009,6,6개월,91,2016-07-31,107.52532196044922,1112.89,1.36,매수완료,0.0,0.0,0.0,1411.9094542845787,1000000.0,1000000.0,8.35674227066256,0.0,0.0,1403.552712013916,167954528.9964574,167954528.9964574
2009,6,6개월,92,2016-08-31,108.65443420410156,1115.98,1.35,매수완료,0.0,0.0,0.0,1403.552712013916,1000000.0,1000000.0,8.247002645563647,0.0,0.0,1395.3057093683524,169189433.94773087,169189433.94773087
2009,6,6개월,93,2016-09-30,111.05951690673828,1097.98,1.34,매수완료,0.0,0.0,0.0,1395.3057093683524,1000000.0,1000000.0,8.200678584333012,0.0,0.0,1387.1050307840194,169145152.62602958,169145152.62602958
2009,6,6개월,94,2016-10-31,109.4411392211914,1145.37,1.35,매수완료,0.0,0.0,0.0,1387.1050307840194,1000000.0,1000000.0,7.977624510044285,0.0,0.0,1379.127406273975,172874444.58404565,172874444.58404565
2009,6,6개월,95,2016-11-30,109.91826629638672,1175.87,1.42,매수완료,0.0,0.0,0.0,1379.127406273975,1000000.0,1000000.0,7.736968342811385,0.0,0.0,1371.3904379311637,177251654.2872193,177251654.2872193
2009,6,6개월,96,2016-12-31,111.16276550292969,1203.73,1.54,매수완료,0.0,0.0,0.0,1371.3904379311637,1000000.0,1000000.0,7.473285486329413,0.0,0.0,1363.9171524448343,182505693.77281177,182505693.77281177
2009,6,6개월,97,2017-01-31,116.87664794921875,1151.45,1.5,매수완료,0.0,0.0,0.0,1363.9171524448343,1000000.0,1000000.0,7.430656208912446,0.0,0.0,1356.4864962359218,182552719.18096957,182552719.18096957
2009,6,6개월,98,2017-02-28,121.99010467529297,1129.17,1.49,매수완료,0.0,0.0,0.0,1356.4864962359218,1000000.0,1000000.0,7.259656380409323,0.0,0.0,1349.2268398555125,185852713.84145576,185852713.84145576
2009,6,6개월,99,2017-03-31,124.46271514892578,1117.48,1.48,매수완료,0.0,0.0,0.0,1349.2268398555125,1000000.0,1000000.0,7.189868874708669,0.0,0.0,1342.0369709808037,186656668.48273122,186656668.48273122
2009,6,6개월,100,2017-04-30,127.85674285888672,1136.99,1.43,매수완료,0.0,0.0,0.0,1342.0369709808037,1000000.0,1000000.0,6.8789114406448135,0.0,0.0,1335.158059540159,194094381.220149,194094381.220149
2009,6,6개월,101,2017-05-31,132.83978271484375,1119.58,1.39,매수완료,0.0,0.0,0.0,1335.158059540159,1000000.0,1000000.0,6.723829801861346,0.0,0.0,1328.4342297382977,197571067.2168635,197571067.2168635
2009,6,6개월,102,2017-06-30,129.7606201171875,1143.75,1.38,매수완료,0.0,0.0,0.0,1328.4342297382977,1000000.0,1000000.0,6.737922022113567,0.0,0.0,1321.6963077161843,196157851.54212743,196157851.54212743
2009,6,6개월,103,2017-07-31,135.03065490722656,1121.86,1.39,매수완료,0.0,0.0,0.0,1321.6963077161843,1000000.0,1000000.0,6.601292286181837,0.0,0.0,1315.0950154300024,199217813.48522118,199217813.48522118
2009,6,6개월,104,2017-08-31,137.83055114746094,1122.36,1.39,매수완료,0.0,0.0,0.0,1315.0950154300024,1000000.0,1000000.0,6.4643122579427965,0.0,0.0,1308.6307031720596,202439277.52161503,202439277.52161503
2009,6,6개월,105,2017-09-30,137.4237060546875,1142.57,1.38,매수완료,0.0,0.0,0.0,1308.6307031720596,1000000.0,1000000.0,6.368769436703531,0.0,0.0,1302.261933735356,204476225.22340918,204476225.22340918
2009,6,6개월,106,2017-10-31,143.75393676757812,1115.68,1.38,매수완료,0.0,0.0,0.0,1302.261933735356,1000000.0,1000000.0,6.235059543585786,0.0,0.0,1296.0268741917703,207861186.43005365,207861186.43005365
2009,6,6개월,107,2017-11-30,146.58840942382812,1084.79,1.45,매수완료,0.0,0.0,0.0,1296.0268741917703,1000000.0,1000000.0,6.288610470238364,0.0,0.0,1289.738263721532,205091135.76447126,205091135.76447126
2009,6,6개월,108,2017-12-31,147.4724884033203,1067.42,1.66,매수완료,0.0,0.0,0.0,1289.738263721532,1000000.0,1000000.0,6.352631382658852,0.0,0.0,1283.385632338873,202024256.56905034,202024256.56905034
2009,6,6개월,109,2018-01-31,160.38673400878906,1068.33,1.66,매수완료,0.0,0.0,0.0,1283.385632338873,1000000.0,1000000.0,5.83614578752578,0.0,0.0,1277.5494865513472,218902942.63758636,218902942.63758636
2009,6,6개월,110,2018-02-28,158.3132781982422,1082.12,1.65,매수완료,0.0,0.0,0.0,1277.5494865513472,1000000.0,1000000.0,5.837235757821817,0.0,0.0,1271.7122507935253,217862067.51876485,217862067.51876485
