자치구,동,법정동코드,단지기본일련번호,아파트
강남구,대치동,1168010600,187,개포우성1차
강남구,대치동,1168010600,200,개포우성2차
강남구,대치동,1168010600,202,노빌리티빌리지
강남구,대치동,1168010600,31445,대치SK뷰
강남구,대치동,1168010600,659022,대치더클래스
강남구,대치동,1168010600,12618,대치동3차풍림아이원
강남구,대치동,1168010600,12619,대치동4차풍림아이원
강남구,대치동,1168010600,204,대치동삼성3차
강남구,대치동,1168010600,47442,대치르엘
강남구,대치동,1168010600,1915248,"대치명문(민간임대,도시형)"
강남구,대치동,1168010600,189,대치삼성(래미안)
강남구,대치동,1168010600,205,대치삼성2차
강남구,대치동,1168010600,26718,대치상지리츠빌카일룸
강남구,대치동,1168010600,14992,대치아이파크
강남구,대치동,1168010600,23668,대치주성
강남구,대치동,1168010600,43458,대치타워
강남구,대치동,1168010600,313482,대치푸르지오써밋
강남구,대치동,1168010600,23772,대치하나빌
강남구,대치동,1168010600,13451,대치한신휴플러스
강남구,대치동,1168010600,190,대치현대
강남구,대치동,1168010600,191,대치효성
강남구,대치동,1168010600,37104,더힐하우스(도)
강남구,대치동,1168010600,23008,동민맥스빌(B동)
강남구,대치동,1168010600,13186,동부센트레빌
강남구,대치동,1168010600,206,동양
강남구,대치동,1168010600,1682099,디에이치대치에델루이
강남구,대치동,1168010600,29017,래미안대치팰리스1단지
강남구,대치동,1168010600,36794,래미안대치팰리스2단지
강남구,대치동,1168010600,193,래미안대치하이스턴(우성2차)
강남구,대치동,1168010600,203,롯데캐슬
강남구,대치동,1168010600,14665,롯데캐슬리베
강남구,대치동,1168010600,24759,메트로
강남구,대치동,1168010600,14294,미소시티
강남구,대치동,1168010600,36403,"선경(1,2차)"
강남구,대치동,1168010600,195,선경(3차)
강남구,대치동,1168010600,207,세연파크뷰
강남구,대치동,1168010600,199,세영팔레스타운
강남구,대치동,1168010600,18166,스카이써밋
강남구,대치동,1168010600,1075677,스톤빌리지(도)
강남구,대치동,1168010600,48626,스톤빌리지대치2차(도)
강남구,대치동,1168010600,46571,스톤빌리지대치3차(도)
강남구,대치동,1168010600,47111,스톤빌리지대치4차(도)
강남구,대치동,1168010600,201,쌍용2차.
강남구,대치동,1168010600,192,쌍용대치(1차)
강남구,대치동,1168010600,15216,아름빌
강남구,대치동,1168010600,21798,아크로빌
강남구,대치동,1168010600,552685,아티드(도시형)
강남구,대치동,1168010600,188,우성(1차)
강남구,대치동,1168010600,15274,우정에쉐르
강남구,대치동,1168010600,18590,월드빌
강남구,대치동,1168010600,186,은마
강남구,대치동,1168010600,196,청암빌라트
강남구,대치동,1168010600,14878,청원
강남구,대치동,1168010600,12845,포스코더샵
강남구,대치동,1168010600,37047,풍림아이원
강남구,대치동,1168010600,24354,하이캐슬
강남구,대치동,1168010600,345179,한보미도맨션
강남구,대치동,1168010600,197,한보미도맨숀3차
강남구,대치동,1168010600,19622,한양팰리스
강남구,대치동,1168010600,18791,한티
강남구,대치동,1168010600,194,현대(1차)
강남구,대치동,1168010600,18942,화인하이빌
강남구,도곡동,1168011800,157,개포4차우성(양재우성)
강남구,도곡동,1168011800,160,개포5차우성
강남구,도곡동,1168011800,156,개포럭키
강남구,도곡동,1168011800,161,개포한신
강남구,도곡동,1168011800,175,경남
강남구,도곡동,1168011800,25661,그랜빌캐슬
강남구,도곡동,1168011800,162,대림
강남구,도곡동,1168011800,20491,대명비발디
강남구,도곡동,1168011800,293449,더힐(도).
강남구,도곡동,1168011800,14799,도곡1차아이파크
강남구,도곡동,1168011800,13923,도곡2차아이파크
강남구,도곡동,1168011800,14938,도곡3차아이파크
강남구,도곡동,1168011800,26010,도곡그린빌
강남구,도곡동,1168011800,13449,도곡동 월드메르디앙
강남구,도곡동,1168011800,176,도곡동삼성래미안
강남구,도곡동,1168011800,13886,도곡렉슬
강남구,도곡동,1168011800,424770,도곡루아르(도)
강남구,도곡동,1168011800,45138,도곡상지카일룸
강남구,도곡동,1168011800,22884,도곡스타빌
강남구,도곡동,1168011800,163,도곡쌍용예가
강남구,도곡동,1168011800,1079409,도곡월드메르디앙(973)
강남구,도곡동,1168011800,24242,도곡지웰카운티
강남구,도곡동,1168011800,1041635,도곡코오롱
강남구,도곡동,1168011800,14075,도곡푸르지오1차
강남구,도곡동,1168011800,20754,도곡하이빌
강남구,도곡동,1168011800,30232,도곡한라비발디
강남구,도곡동,1168011800,159,도곡한신(MBC)
강남구,도곡동,1168011800,12557,도곡현대하이페리온
강남구,도곡동,1168011800,171,도곡현대힐스테이트
강남구,도곡동,1168011800,48184,라온빌(도)
강남구,도곡동,1168011800,22461,래미안도곡카운티
강남구,도곡동,1168011800,23381,로덴하우스 이스트빌리지
강남구,도곡동,1168011800,23384,로덴하우스웨스트빌리지
강남구,도곡동,1168011800,12298,롯데캐슬모닝
강남구,도곡동,1168011800,18341,리치아르떼빌.
강남구,도곡동,1168011800,164,매봉(삼성)
강남구,도곡동,1168011800,25706,벨라빌.
강남구,도곡동,1168011800,545598,비스킷(도)
강남구,도곡동,1168011800,180,삼성
강남구,도곡동,1168011800,165,삼익
강남구,도곡동,1168011800,166,삼호
강남구,도곡동,1168011800,185,신성빌리지
강남구,도곡동,1168011800,158,역삼럭키
강남구,도곡동,1168011800,167,우성
강남구,도곡동,1168011800,18886,울트라멤버스
강남구,도곡동,1168011800,19495,원팰리스.
강남구,도곡동,1168011800,24685,이니그마빌Ⅲ
강남구,도곡동,1168011800,15571,조이너스도곡
강남구,도곡동,1168011800,170,중명하니빌
강남구,도곡동,1168011800,800355,클래스원
강남구,도곡동,1168011800,24337,파크힐
강남구,도곡동,1168011800,25803,포레스트빌
강남구,도곡동,1168011800,177,포스코트
강남구,도곡동,1168011800,26782,플럼힐스
강남구,도곡동,1168011800,14621,필로스
강남구,도곡동,1168011800,168,현대(도곡)
강남구,도곡동,1168011800,169,현대그린
강남구,도곡동,1168011800,172,현대벨라하우스
강남구,도곡동,1168011800,20492,현대아이리스
강남구,도곡동,1168011800,26468,현대오티움
강남구,도곡동,1168011800,183,힐데스하임.
강남구,삼성동,1168010500,12573,IPARK삼성동
강남구,삼성동,1168010500,352557,LH삼성(도)
강남구,삼성동,1168010500,30893,SM드림빌.
강남구,삼성동,1168010500,20710,골든카운티
강남구,삼성동,1168010500,42639,그라나다.
강남구,삼성동,1168010500,27301,네오블로썸
강남구,삼성동,1168010500,21496,노블테라스
강남구,삼성동,1168010500,24321,다우림하우스
강남구,삼성동,1168010500,23372,동구싼타빌
강남구,삼성동,1168010500,14688,동일파크스위트
강남구,삼성동,1168010500,46915,래미안라클래시
강남구,삼성동,1168010500,37051,"래미안삼성1차(102,103번지)"
강남구,삼성동,1168010500,13865,래미안삼성1차(104번지)
강남구,삼성동,1168010500,13864,래미안삼성1차(105번지)
강남구,삼성동,1168010500,14766,래미안삼성2차
강남구,삼성동,1168010500,40379,로프트원
강남구,삼성동,1168010500,14767,롯데캐슬프레미어
강남구,삼성동,1168010500,14471,블루밍하우스
강남구,삼성동,1168010500,36287,삼부
강남구,삼성동,1168010500,11957,삼부아그레빌
강남구,삼성동,1168010500,13642,삼성SK뷰
강남구,삼성동,1168010500,21596,삼성그랑빌
강남구,삼성동,1168010500,12900,삼성대우멤버스카운티1차
강남구,삼성동,1168010500,20898,삼성대우멤버스카운티2차
강남구,삼성동,1168010500,19344,삼성대우멤버스카운티3차
강남구,삼성동,1168010500,19345,삼성대우멤버스카운티5차
강남구,삼성동,1168010500,26620,삼성대유리채(도시형)
강남구,삼성동,1168010500,46,삼성더파크뷰
강남구,삼성동,1168010500,14401,삼성동 골든빌
강남구,삼성동,1168010500,14704,삼성동 아셈
강남구,삼성동,1168010500,15424,삼성동 아펠바움
강남구,삼성동,1168010500,12297,삼성동금호어울림
강남구,삼성동,1168010500,12603,삼성동대성유니드
강남구,삼성동,1168010500,38,삼성동롯데
강남구,삼성동,1168010500,13810,삼성동롯데캐슬킹덤
강남구,삼성동,1168010500,31920,삼성동센트럴아이파크
강남구,삼성동,1168010500,59,삼성동씨엘케이
강남구,삼성동,1168010500,13246,삼성동우림루미아트
강남구,삼성동,1168010500,13207,삼성동중앙하이츠빌리지
강남구,삼성동,1168010500,39,삼성동한솔
강남구,삼성동,1168010500,54,삼성동한일
강남구,삼성동,1168010500,15758,삼성동힐스테이트1단지
강남구,삼성동,1168010500,15759,삼성동힐스테이트2단지
강남구,삼성동,1168010500,20298,삼성드림하우스
강남구,삼성동,1168010500,28951,삼성라테라스
강남구,삼성동,1168010500,25956,삼성루첸시아
강남구,삼성동,1168010500,58,삼성벨라스
강남구,삼성동,1168010500,18034,삼성오네뜨
강남구,삼성동,1168010500,20338,삼성월드타워
강남구,삼성동,1168010500,20831,삼성웰피아
강남구,삼성동,1168010500,20445,삼성이안파크
강남구,삼성동,1168010500,56,삼성파크
강남구,삼성동,1168010500,14386,삼성팰리스(71-16)
강남구,삼성동,1168010500,14387,삼성펠리스(129-5)
강남구,삼성동,1168010500,24884,삼성헤렌하우스2
강남구,삼성동,1168010500,20383,상아빌라트
강남구,삼성동,1168010500,27999,상지리츠빌카일룸
강남구,삼성동,1168010500,43,서광
강남구,삼성동,1168010500,44,석탑
강남구,삼성동,1168010500,61,세방타운
