시작연도,종목,경과개월,날짜,월봉종가(달러),원달러환율,한국CD91일물금리(%),매수신호,월초대기자금(원),대기자금이자(원),인출전대기자금(원),인출전보유수량,요청인출액(원),실제인출액(원),매도수량,매수액(원),월말현금(원),월말보유수량,월말주식평가액(원),월말총잔액(원)
2003,QQQ,5,2003-05-31,25.10210418701172,1210.0,4.39,분할매수,55566822.3144147,213932.2659104966,55780754.5803252,1627.9412342399842,1000000.0,1000000.0,0.0,8333333.333333333,46447421.246991865,1902.3027893625735,57779681.40472502,104227102.65171689
2003,QQQ,6,2003-06-30,25.236915588378906,1196.0,4.28,분할매수,46447421.246991865,169920.14939524521,46617341.39638711,1902.3027893625735,1000000.0,1000000.0,0.0,8333333.333333333,37284008.06305377,2178.3931850667436,65751206.216075815,103035214.2791296
2003,QQQ,7,2003-07-31,26.795791625976562,1181.0,4.15,분할매수,37284008.06305377,132979.62875822515,37416987.69181199,2178.3931850667436,1000000.0,1000000.0,0.0,8333333.333333333,28083654.35847866,2441.7243524578294,77270393.54566494,105354047.9041436
2003,QQQ,8,2003-08-31,28.135583877563477,1175.0,3.9,분할매수,28083654.35847866,97122.63798973871,28180776.9964684,2441.7243524578294,1000000.0,1000000.0,0.0,8333333.333333333,18847443.663135067,2693.796554421831,89055058.21458162,107902501.87771669
2003,QQQ,9,2003-09-30,27.318239212036133,1150.2,3.83,분할매수,18847443.663135067,61254.19190518896,18908697.855040256,2693.796554421831,1000000.0,1000000.0,0.0,8333333.333333333,9575364.521706924,2959.00825913853,92976296.75065821,102551661.27236514
2003,QQQ,10,2003-10-31,29.64388656616211,1184.0,3.93,분할매수,9575364.521706924,30561.3717651146,9605925.893472038,2959.00825913853,1000000.0,1000000.0,0.0,8333333.333333333,272592.5601387052,3196.436245262399,112189675.46910478,112462268.02924348
2003,QQQ,11,2003-11-30,29.81244659423828,1202.1,4.23,분할매수,272592.5601387052,892.7406344542595,273485.3007731594,3196.436245262399,1000000.0,1000000.0,20.27244776425479,0.0,0.0,3176.1637974981445,113825903.65349345,113825903.65349345
2003,QQQ,12,2003-12-31,30.734487533569336,1192.0,4.34,분할매수,0.0,0.0,0.0,3176.1637974981445,1000000.0,1000000.0,27.295922002289394,0.0,0.0,3148.867875495855,115360377.83342691,115360377.83342691
2003,QQQ,13,2004-01-31,31.248685836791992,1174.0,4.26,분할매수,0.0,0.0,0.0,3148.867875495855,1000000.0,1000000.0,27.258386507426348,0.0,0.0,3121.609488988429,114519232.02196759,114519232.02196759
2003,QQQ,14,2004-02-29,30.827220916748047,1179.0,4.08,분할매수,0.0,0.0,0.0,3121.609488988429,1000000.0,1000000.0,27.51387882112659,0.0,0.0,3094.0956101673023,112455812.94744581,112455812.94744581
2003,QQQ,15,2004-03-31,30.21183967590332,1146.7,3.93,분할매수,0.0,0.0,0.0,3094.0956101673023,1000000.0,1000000.0,28.865096657683353,0.0,0.0,3065.230513509619,106191590.13603066,106191590.13603066
2003,QQQ,16,2004-04-30,29.30986785888672,1173.6,3.91,분할매수,0.0,0.0,0.0,3065.230513509619,1000000.0,1000000.0,29.071406157145788,0.0,0.0,3036.1591073524733,104437985.93506224,104437985.93506224
2003,QQQ,17,2004-05-31,30.81035614013672,1165.0,3.9,분할매수,0.0,0.0,0.0,3036.1591073524733,1000000.0,1000000.0,27.859759063097847,0.0,0.0,3008.2993482893753,107980092.05593142,107980092.05593142
2003,QQQ,18,2004-06-30,31.81346321105957,1156.0,3.91,분할매수,0.0,0.0,0.0,3008.2993482893753,1000000.0,1000000.0,27.19137798281144,0.0,0.0,2981.107970306564,109634310.26522526,109634310.26522526
2003,QQQ,19,2004-07-31,29.411029815673828,1170.0,3.91,분할매수,0.0,0.0,0.0,2981.107970306564,1000000.0,1000000.0,29.060555174622433,0.0,0.0,2952.0474151319413,101582622.81616221,101582622.81616221
2003,QQQ,20,2004-08-31,28.67763900756836,1152.0,3.7,분할매수,0.0,0.0,0.0,2952.0474151319413,1000000.0,1000000.0,30.26942194671136,0.0,0.0,2921.77799318523,96525728.12024473,96525728.12024473
2003,QQQ,21,2004-09-30,29.621763229370117,1152.0,3.52,분할매수,0.0,0.0,0.0,2921.77799318523,1000000.0,1000000.0,29.30465512244978,0.0,0.0,2892.4733380627804,98703544.74320045,98703544.74320045
2003,QQQ,22,2004-10-31,31.10539436340332,1120.0,3.52,분할매수,0.0,0.0,0.0,2892.4733380627804,1000000.0,1000000.0,28.70425407329422,0.0,0.0,2863.7690839894863,99768106.73000109,99768106.73000109
2003,QQQ,23,2004-11-30,32.97675704956055,1048.0,3.42,분할매수,0.0,0.0,0.0,2863.7690839894863,1000000.0,1000000.0,28.93548543443445,0.0,0.0,2834.8335985550516,97970832.56054449,97970832.56054449
2003,QQQ,24,2004-12-31,33.97344207763672,1035.1,3.39,분할매수,0.0,0.0,0.0,2834.8335985550516,1000000.0,1000000.0,28.43663090186798,0.0,0.0,2806.3969676531838,98689502.89286323,98689502.89286323
2003,QQQ,25,2005-01-31,31.828811645507812,1026.85,3.47,분할매수,0.0,0.0,0.0,2806.3969676531838,1000000.0,1000000.0,30.596557694849675,0.0,0.0,2775.800409958334,90722637.41700542,90722637.41700542
2003,QQQ,26,2005-02-28,31.67563819885254,1000.85,3.59,분할매수,0.0,0.0,0.0,2775.800409958334,1000000.0,1000000.0,31.543191509321858,0.0,0.0,2744.2572184490123,86999985.96014011,86999985.96014011
2003,QQQ,27,2005-03-31,31.122474670410156,1015.4,3.55,분할매수,0.0,0.0,0.0,2744.2572184490123,1000000.0,1000000.0,31.64380639898686,0.0,0.0,2712.6134120500255,85723360.13713177,85723360.13713177
2003,QQQ,28,2005-04-30,29.76930809020996,997.0,3.52,분할매수,0.0,0.0,0.0,2712.6134120500255,1000000.0,1000000.0,33.6927221835934,0.0,0.0,2678.920689866432,79510366.519774,79510366.519774
2003,QQQ,29,2005-05-31,32.40753936767578,1005.0,3.51,분할매수,0.0,0.0,0.0,2678.920689866432,1000000.0,1000000.0,30.703499711377567,0.0,0.0,2648.2171901550546,86251313.8583262,86251313.8583262
2003,QQQ,30,2005-06-30,31.330121994018555,1034.5,3.51,분할매수,0.0,0.0,0.0,2648.2171901550546,1000000.0,1000000.0,30.853711837081878,0.0,0.0,2617.3634783179727,84831397.0175953,84831397.0175953
2003,QQQ,31,2005-07-31,33.7152214050293,1026.5,3.51,분할매수,0.0,0.0,0.0,2617.3634783179727,1000000.0,1000000.0,28.894489794259872,0.0,0.0,2588.468988523713,89583481.38190466,89583481.38190466
2003,QQQ,32,2005-08-31,33.20412063598633,1039.0,3.5,분할매수,0.0,0.0,0.0,2588.468988523713,1000000.0,1000000.0,28.986279087311686,0.0,0.0,2559.4827094364014,88299802.18319146,88299802.18319146
2003,QQQ,33,2005-09-30,33.61299514770508,1042.4,3.7,분할매수,0.0,0.0,0.0,2559.4827094364014,1000000.0,1000000.0,28.540290183635605,0.0,0.0,2530.942419252766,88679631.60038064,88679631.60038064
2003,QQQ,34,2005-10-31,33.11043930053711,1043.5,3.93,분할매수,0.0,0.0,0.0,2530.942419252766,1000000.0,1000000.0,28.94293729458143,0.0,0.0,2501.9994819581843,86445942.11336656,86445942.11336656
2003,QQQ,35,2005-11-30,35.12925720214844,1037.4,3.96,분할매수,0.0,0.0,0.0,2501.9994819581843,1000000.0,1000000.0,27.440043119113597,0.0,0.0,2474.559438839071,90180595.85756975,90180595.85756975
2003,QQQ,36,2005-12-31,34.50525665283203,1010.0,4.04,분할매수,0.0,0.0,0.0,2474.559438839071,1000000.0,1000000.0,28.694149991773134,0.0,0.0,2445.865288847298,85239161.62522846,85239161.62522846
2003,QQQ,37,2006-01-31,35.86296463012695,958.9,4.15,분할매수,0.0,0.0,0.0,2445.865288847298,1000000.0,1000000.0,29.07906869996991,0.0,0.0,2416.786220147328,83110853.55184807,83110853.55184807
2003,QQQ,38,2006-02-28,35.09443283081055,970.9,4.25,분할매수,0.0,0.0,0.0,2416.786220147328,1000000.0,1000000.0,29.348592003646903,0.0,0.0,2387.437628143681,81347603.58680971,81347603.58680971
2003,QQQ,39,2006-03-31,35.82828140258789,971.4,4.27,분할매수,0.0,0.0,0.0,2387.437628143681,1000000.0,1000000.0,28.732665986559297,0.0,0.0,2358.704962157122,82091406.4591322,82091406.4591322
2003,QQQ,40,2006-04-30,35.759925842285156,942.8,4.33,분할매수,0.0,0.0,0.0,2358.704962157122,1000000.0,1000000.0,29.66086530310913,0.0,0.0,2329.044096854013,78522459.57942016,78522459.57942016
2003,QQQ,41,2006-05-31,33.17085647583008,945.3,4.36,분할매수,0.0,0.0,0.0,2329.044096854013,1000000.0,1000000.0,31.89140529852672,0.0,0.0,2297.152691555486,72030463.06841822,72030463.06841822
2003,QQQ,42,2006-06-30,33.15044021606445,948.5,4.47,분할매수,0.0,0.0,0.0,2297.152691555486,1000000.0,1000000.0,31.803386331424424,0.0,0.0,2265.3493052240615,71229814.38569973,71229814.38569973
2003,QQQ,43,2006-07-31,31.72249984741211,954.9,4.63,분할매수,0.0,0.0,0.0,2265.3493052240615,1000000.0,1000000.0,33.01221787327797,0.0,0.0,2232.3370873507833,67621542.30048773,67621542.30048773
2003,QQQ,44,2006-08-31,33.23595428466797,961.1,4.68,분할매수,0.0,0.0,0.0,2232.3370873507833,1000000.0,1000000.0,31.30568923763613,0.0,0.0,2201.031398113147,70307712.48655458,70307712.48655458
2003,QQQ,45,2006-09-30,34.77793884277344,946.0,4.64,분할매수,0.0,0.0,0.0,2201.031398113147,1000000.0,1000000.0,30.395201314552384,0.0,0.0,2170.636196798595,71413779.24545458,71413779.24545458
2003,QQQ,46,2006-10-31,36.42913818359375,942.2,4.57,분할매수,0.0,0.0,0.0,2170.636196798595,1000000.0,1000000.0,29.134529098885356,0.0,0.0,2141.5016676997097,73503905.2950281,73503905.2950281
2003,QQQ,47,2006-11-30,37.67822265625,929.0,4.6,분할매수,0.0,0.0,0.0,2141.5016676997097,1000000.0,1000000.0,28.568923609306857,0.0,0.0,2112.932744090403,73959130.31186363,73959130.31186363
2003,QQQ,48,2006-12-31,36.97036361694336,930.0,4.76,분할매수,0.0,0.0,0.0,2112.932744090403,1000000.0,1000000.0,29.08461567609549,0.0,0.0,2083.8481284143077,71647779.41786636,71647779.41786636
2003,QQQ,49,2007-01-31,37.749855041503906,941.0,4.92,분할매수,0.0,0.0,0.0,2083.8481284143077,1000000.0,1000000.0,28.151081770834374,0.0,0.0,2055.697046643473,73023731.85435653,73023731.85435653
2003,QQQ,50,2007-02-28,37.115989685058594,942.3,4.95,분할매수,0.0,0.0,0.0,2055.697046643473,1000000.0,1000000.0,28.592344214140876,0.0,0.0,2027.1047024293323,70896764.78596638,70896764.78596638
2003,QQQ,51,2007-03-31,37.31077194213867,941.1,4.94,분할매수,0.0,0.0,0.0,2027.1047024293323,1000000.0,1000000.0,28.47934469936947,0.0,0.0,1998.6253577299628,70178066.90524772,70178066.90524772
2003,QQQ,52,2007-04-30,39.39359664916992,931.0,4.95,분할매수,0.0,0.0,0.0,1998.6253577299628,1000000.0,1000000.0,27.2662043436792,0.0,0.0,1971.3591533862837,72300461.35274713,72300461.35274713
2003,QQQ,53,2007-05-31,40.63643264770508,927.4,5.04,분할매수,0.0,0.0,0.0,1971.3591533862837,1000000.0,1000000.0,26.534892524117417,0.0,0.0,1944.8242608621663,73293089.80974866,73293089.80974866
2003,QQQ,54,2007-06-30,40.83116912841797,922.6,5.03,분할매수,0.0,0.0,0.0,1944.8242608621663,1000000.0,1000000.0,26.545733762506607,0.0,0.0,1918.2785270996596,72263157.02032131,72263157.02032131
2003,QQQ,55,2007-07-31,40.77114486694336,919.0,5.05,분할매수,0.0,0.0,0.0,1918.2785270996596,1000000.0,1000000.0,26.688955764652103,0.0,0.0,1891.5895713350076,70875368.37392128,70875368.37392128
2003,QQQ,56,2007-08-31,41.92059326171875,938.1,5.21,분할매수,0.0,0.0,0.0,1891.5895713350076,1000000.0,1000000.0,25.42865817695061,0.0,0.0,1866.160913158057,73388100.15738887,73388100.15738887
2003,QQQ,57,2007-09-30,44.122318267822266,913.6,5.34,분할매수,0.0,0.0,0.0,1866.160913158057,1000000.0,1000000.0,24.80764772041457,0.0,0.0,1841.3532654376424,74225226.27658755,74225226.27658755
2003,QQQ,58,2007-10-31,47.22916793823242,903.2,5.34,분할매수,0.0,0.0,0.0,1841.3532654376424,1000000.0,1000000.0,23.442599965930523,0.0,0.0,1817.910665471712,77547314.21061268,77547314.21061268
