거래금액_만원,전용면적_㎡,계약연도,계약월,계약일,법정동,아파트,층,건축연도,해제여부,자치구코드,자치구,계약년월,㎡당_실거래가격_만원
41000,79.87,2016,6,10,창신동,창신쌍용1,10,1992,,11110,종로구,201606,513.3341680230374
88500,137.55,2016,6,22,견지동,대성스카이렉스,14,2008,,11110,종로구,201606,643.4023991275899
30500,64.66,2016,6,13,창신동,창신쌍용2,4,1993,,11110,종로구,201606,471.6981132075472
53500,84.92,2016,6,3,숭인동,종로센트레빌,8,2008,,11110,종로구,201606,630.0047103155912
13600,17.811,2016,6,6,숭인동,종로중흥S클래스,14,2013,,11110,종로구,201606,763.5730728201673
75000,70.8,2016,6,17,사직동,광화문스페이스본(101동~105동),13,2008,,11110,종로구,201606,1059.322033898305
52000,59.993,2016,6,7,무악동,인왕산아이파크,5,2008,,11110,종로구,201606,866.7677895754505
38000,79.87,2016,6,30,창신동,창신쌍용1,9,1992,,11110,종로구,201606,475.7731313384249
43000,59.9426,2016,6,15,숭인동,종로청계힐스테이트,4,2009,,11110,종로구,201606,717.3529343071539
53000,135.33,2016,6,20,구기동,렉스팰리스,2,2005,,11110,종로구,201606,391.6352619522648
37990,60.0,2016,6,18,무악동,현대,3,2000,,11110,종로구,201606,633.1666666666666
11000,30.28,2016,6,16,행촌동,대성아파트,1,1971,,11110,종로구,201606,363.27608982826945
64800,84.858,2016,6,12,무악동,인왕산아이파크,5,2008,,11110,종로구,201606,763.6286502156544
130000,174.55,2016,6,3,내수동,경희궁의아침3단지,4,2004,,11110,종로구,201606,744.7722715554282
30600,54.7,2016,6,3,창신동,창신쌍용1,4,1992,,11110,종로구,201606,559.4149908592321
65000,84.858,2016,6,27,무악동,인왕산아이파크,16,2008,,11110,종로구,201606,765.9855287657026
13000,15.855,2016,6,22,숭인동,종로동광모닝스카이,12,2013,,11110,종로구,201606,819.9306212551245
19500,28.8,2016,6,16,창신동,동대문,6,1966,,11110,종로구,201606,677.0833333333334
12400,15.0,2016,6,23,숭인동,삼전솔하임2차,9,2012,,11110,종로구,201606,826.6666666666666
112000,124.17,2016,6,16,내수동,경희궁의아침4단지,12,2004,,11110,종로구,201606,901.9892083434002
24000,28.8,2016,6,14,창신동,동대문,4,1966,,11110,종로구,201606,833.3333333333333
15700,42.39,2016,6,6,창신동,동문상가,5,1970,,11110,종로구,201606,370.3703703703704
43000,106.62,2016,6,22,창신동,창신쌍용2,2,1993,,11110,종로구,201606,403.30144438191707
50000,84.64,2016,6,9,인의동,효성쥬얼리시티,16,2006,,11110,종로구,201606,590.7372400756144
55000,92.81,2016,6,21,인의동,효성쥬얼리시티,12,2006,,11110,종로구,201606,592.6085551125956
37890,60.0,2016,6,15,무악동,현대,2,2000,,11110,종로구,201606,631.5
13500,17.811,2016,6,14,숭인동,종로중흥S클래스,13,2013,,11110,종로구,201606,757.9585649317837
13200,15.09,2016,6,14,숭인동,삼전솔하임4차,11,2014,,11110,종로구,201606,874.7514910536779
48500,91.06,2016,6,10,평창동,롯데낙천대,9,2001,,11110,종로구,201606,532.6158576762574
62500,84.858,2016,6,12,무악동,인왕산아이파크,9,2008,,11110,종로구,201606,736.5245468900987
67000,84.858,2016,6,15,무악동,인왕산아이파크,12,2008,,11110,종로구,201606,789.5543142661858
13400,15.09,2016,6,14,숭인동,삼전솔하임4차,16,2014,,11110,종로구,201606,888.0053015241882
26400,46.64,2016,6,10,익선동,현대뜨레비앙,2,2003,,11110,종로구,201606,566.0377358490566
15000,32.53,2016,6,13,명륜1가,방산아파트,3,1995,,11110,종로구,201606,461.1128189363664
30700,54.7,2016,6,11,창신동,창신쌍용2,8,1993,,11110,종로구,201606,561.2431444241316
115000,136.4,2016,6,10,사직동,광화문스페이스본(101동~105동),14,2008,,11110,종로구,201606,843.108504398827
72000,114.931,2016,6,10,무악동,인왕산아이파크,2,2008,,11110,종로구,201606,626.4628342222725
112500,149.0,2016,6,6,내수동,경희궁의아침3단지,16,2004,,11110,종로구,201606,755.0335570469799
110000,148.09,2016,6,8,내수동,경희궁파크팰리스,10,2003,,11110,종로구,201606,742.7915456816801
