시작연도,매수방식,경과개월,날짜,월봉종가(달러),10개월이동평균(달러),원달러환율,매수신호,인출전현금(원),인출전보유수량,요청인출액(원),실제인출액(원),매도수량,매수액(원),월말현금(원),월말보유수량,월말주식평가액(원),월말총잔액(원)
2008,균등 분할매수,49,2012-01-31,53.46356201171875,50.18809967041015,1125.7,균등분할,0.0,1457.0232602816448,1000000.0,1000000.0,16.615730657883987,0.0,0.0,1440.4075296237609,86689388.4645574,86689388.4645574
2008,균등 분할매수,50,2012-02-29,56.89059066772461,50.70000228881836,1117.1,균등분할,0.0,1440.4075296237609,1000000.0,1000000.0,15.735027466003562,0.0,0.0,1424.6725021577572,90541469.04006648,90541469.04006648
2008,균등 분할매수,51,2012-03-31,59.76530838012695,51.56247062683106,1131.4,균등분할,0.0,1424.6725021577572,1000000.0,1000000.0,14.788858746138748,0.0,0.0,1409.8836434116186,95334174.70632936,95334174.70632936
2008,균등 분할매수,52,2012-04-30,59.066349029541016,52.45862655639648,1130.05,균등분할,0.0,1409.8836434116186,1000000.0,1000000.0,14.981738522016887,0.0,0.0,1394.9019048896016,93106811.52522315,93106811.52522315
2008,균등 분할매수,53,2012-05-31,54.90798568725586,52.855511856079104,1180.0,균등분할,0.0,1394.9019048896016,1000000.0,1000000.0,15.434141619136811,0.0,0.0,1379.4677632704647,89377679.51798892,89377679.51798892
2008,균등 분할매수,54,2012-06-30,56.89643859863281,53.70945014953613,1141.17,균등분할,0.0,1379.4677632704647,1000000.0,1000000.0,15.401555001547745,0.0,0.0,1364.066208268917,88566784.85593425,88566784.85593425
2008,균등 분할매수,55,2012-07-31,57.4640007019043,54.83730850219727,1130.27,균등분할,0.0,1364.066208268917,1000000.0,1000000.0,15.396497673539926,0.0,0.0,1348.6697105953772,87595876.6202505,87595876.6202505
2008,균등 분할매수,56,2012-08-31,60.443607330322266,55.78270721435547,1133.2,균등분할,0.0,1348.6697105953772,1000000.0,1000000.0,14.599670645006054,0.0,0.0,1334.0700399503712,91376721.59794246,91376721.59794246
2008,균등 분할매수,57,2012-09-30,60.9805908203125,56.9190673828125,1111.21,균등분할,0.0,1334.0700399503712,1000000.0,1000000.0,14.757480946355546,0.0,0.0,1319.3125590040156,89399577.32622574,89399577.32622574
2008,균등 분할매수,58,2012-10-31,57.76124954223633,57.763968276977536,1090.17,균등분할,0.0,1319.3125590040156,1000000.0,1000000.0,15.880683618237446,0.0,0.0,1303.431875385778,82076559.59400332,82076559.59400332
