기준월,매매가격지수
2011-08,56.766838232748
2011-09,56.705197512807
2011-10,56.632501102682
2011-11,56.530390570944
2011-12,56.439877371532
2012-01,56.348193039236
2012-02,56.269887266617
2012-03,56.130276601202
2012-04,55.886637191156
2012-05,55.739906860585
2012-06,55.568804123897
2012-07,55.270351979121
2012-08,55.011269805499
2012-09,54.655914589648
2012-10,54.324397985384
2012-11,54.109573824532
2012-12,53.911665137247
2013-01,53.709927171958
2013-02,53.569348612038
2013-03,53.431684857977
2013-04,53.363864192746
2013-05,53.334909281594
2013-06,53.223793930948
2013-07,53.047449347418
2013-08,52.895013819858
2013-09,52.868028447805
2013-10,52.917644558331
2013-11,52.922986915213
2013-12,52.921818635616
2014-01,52.939102281594
2014-02,53.006804363966
2014-03,53.130670768634
2014-04,53.173514402055
2014-05,53.15643247551
2014-06,53.103978845302
2014-07,53.100638909217
2014-08,53.116583431384
2014-09,53.281185657097
2014-10,53.436743456157
2014-11,53.490853759938
2014-12,53.499335789003
2015-01,53.544580773292
2015-02,53.647456183578
2015-03,53.902317238365
2015-04,54.198028521939
2015-05,54.408930934604
2015-06,54.678140443558
2015-07,54.93377213284
2015-08,55.23622249239
2015-09,55.640774958762
2015-10,55.915875835605
2015-11,56.295791040839
2015-12,56.474383542879
2016-01,56.538294562491
2016-02,56.621627207346
2016-03,56.661799780461
2016-04,56.72889618128
2016-05,56.887287459658
2016-06,57.114258644767
2016-07,57.424679112423
2016-08,57.746376971203
2016-09,57.99788910688
2016-10,58.414013101945
2016-11,58.799688965956
2016-12,58.858032762077
2017-01,58.874590970794
2017-02,58.897178164967
2017-03,58.956081353543
2017-04,59.037166787169
2017-05,59.166917533329
2017-06,59.671748432178
2017-07,60.184224617919
2017-08,60.81651614802
2017-09,60.907338419846
2017-10,61.179086925788
2017-11,61.558236549585
2017-12,61.965056235431
2018-01,62.661104072116
2018-02,63.278824468798
2018-03,64.072450389949
2018-04,64.592619865161
2018-05,64.849823772379
2018-06,65.102236256924
2018-07,65.44626804506
2018-08,66.211202646601
2018-09,68.749626279153
2018-10,70.013544971801
2018-11,70.290163468409
2018-12,70.366537860253
2019-01,70.345197718138
2019-02,70.280567289772
2019-03,70.161766754739
2019-04,70.060545585135
2019-05,70.017871605124
2019-06,69.964592113088
2019-07,70.223251863847
2019-08,70.506132546902
2019-09,70.821640589493
2019-10,71.231505726802
2019-11,71.632327358567
2019-12,72.399142248653
2020-01,72.881505940055
2020-02,73.256844057649
2020-03,73.793043983864
2020-04,73.906716892806
2020-05,73.906038309722
2020-06,74.288718112766
2020-07,75.877428898669
2020-08,77.435266537037
2020-09,78.980663218141
2020-10,79.568838721639
2020-11,80.79356147632
2020-12,81.857055363892
2021-01,83.1690808429
2021-02,84.49939843118
2021-03,85.624676623265
2021-04,86.439764283691
2021-05,87.310730746959
2021-06,88.759654649672
2021-07,89.897774559846
2021-08,91.330227578426
2021-09,92.876399499279
2021-10,93.848206445656
2021-11,94.841977136674
2021-12,95.27907189211
2022-01,95.501102424237
2022-02,95.588971126306
2022-03,95.641167206085
2022-04,95.745870212946
2022-05,95.948970799042
2022-06,96.077246341009
2022-07,96.110528673465
2022-08,95.970835409814
2022-09,95.784937885007
2022-10,95.144813723693
2022-11,93.797820853143
2022-12,92.454160152528
2023-01,90.519810154549
2023-02,89.436346739493
2023-03,88.389057124958
2023-04,87.532190998931
2023-05,86.766705802783
2023-06,86.519586270489
2023-07,86.323095683562
2023-08,86.274344191408
2023-09,86.502878498259
2023-10,86.702552685679
2023-11,86.735525316463
2023-12,86.643839916179
2024-01,86.477322182261
2024-02,86.373148406315
2024-03,86.244825251318
2024-04,86.101885815425
2024-05,86.074989287189
2024-06,86.181728638653
2024-07,86.663657170974
2024-08,87.436378715142
2024-09,88.199496028498
2024-10,88.640283249159
2024-11,88.893174935698
2024-12,89.106862556171
2025-01,89.164197609769
2025-02,89.219803570926
2025-03,89.797080567023
2025-04,90.681077876853
2025-05,91.236227034304
2025-06,92.538788432667
2025-07,93.726507511375
2025-08,94.284514294929
2025-09,95.054953114638
2025-10,96.440742377294
2025-11,98.096077602821
2025-12,99.138004473186
2026-01,100.0
2026-02,101.33613707974
2026-03,102.784070446069
2026-04,103.8165629402
2026-05,104.679722947
2026-06,105.7983526197
2026-07,106.9134267569
