strategy,month_number,actual_withdrawal_krw,tax_paid_krw,ending_balance_krw,us_core_value_krw,us_core_principal_krw,us_core_gain_krw,isa_principal_krw,isa_gain_krw,pension_principal_krw,pension_gain_krw,general_krw,us_excess_krw
계좌순,39,5000000.0,213883.08207588742,308024361.6705364,25602842.227111135,18782870.02253943,6819972.204571705,100000000.0,36309532.01713979,72000000.0,13552409.35873644,60559578.067549065,0.0
계좌순,40,5000000.0,218747.0030530926,305261844.18296766,25807002.886409182,18782870.02253943,7024132.863869753,100000000.0,37396483.367242604,72000000.0,14234616.28499405,55823741.64432178,0.0
계좌순,41,5000000.0,223581.42107690393,302472463.5749918,26012791.551474534,18782870.02253943,7229921.528935105,100000000.0,38492102.220050514,72000000.0,14922263.225083232,51045306.578383535,0.0
계좌순,42,5000000.0,228386.45266682352,299656035.0227485,26220221.204253793,18782870.02253943,7437351.181714363,100000000.0,39596457.69144732,72000000.0,15615393.558438182,46223962.568609186,0.0
계좌순,43,5000000.0,233162.21477263726,296812372.1116158,26429304.930213433,18782870.02253943,7646434.907674003,100000000.0,40709619.44845644,72000000.0,16314051.010406837,41359396.72253903,0.0
계좌순,44,5000000.0,237908.82475886052,293941286.82311094,26640055.919165276,18782870.02253943,7857185.896625847,100000000.0,41831657.71363604,72000000.0,17018279.655009195,36451293.53530044,0.0
계좌순,45,5000000.0,242626.40038934108,291042589.52170175,26852487.466098547,18782870.02253943,8069617.443559118,100000000.0,42962643.26950878,72000000.0,17728123.917717665,31499334.868376777,0.0
계좌순,46,5000000.0,247315.05981202505,288116088.9415276,27066612.972018596,18782870.02253943,8283742.949479166,100000000.0,44102647.46302712,72000000.0,18443628.578259617,26503199.92822225,0.0
계좌순,47,5000000.0,251974.92154388208,285161592.17302996,27282445.94479226,18782870.02253943,8499575.92225283,100000000.0,45251742.2100741,72000000.0,19164838.773442283,21462565.244721323,0.0
계좌순,48,5000000.0,132287.687765322,281379441.0901406,25000000.0,17075336.38412675,7924663.615873251,100000000.0,46410000.00000015,87577641.09014036,19891800.000000075,0.0,2500000.0000000075
계좌순,49,5000000.0,0.0,278603264.91612756,25199353.510722596,17075336.38412675,8124017.126595847,100000000.0,47577493.900195956,85077641.09014037,20748776.41506864,0.0,0.0
계좌순,50,5000000.0,0.0,275824886.47451985,25400296.694334686,17075336.38412675,8324960.310207937,100000000.0,48754297.56070182,80077641.09014037,21592651.129342988,0.0,0.0
계좌순,51,5000000.0,0.0,273024352.8530541,25602842.22711113,17075336.38412675,8527505.842984382,100000000.0,49940485.2188538,75077641.09014037,22403384.316948816,0.0,0.0
계좌순,52,5000000.0,0.0,270201487.38321495,25807002.886409182,17075336.38412675,8731666.502282433,100000000.0,51136131.703966886,70077641.09014037,23180711.702698484,0.0,0.0
계좌순,53,5000000.0,0.0,267356111.98770735,26012791.551474534,17075336.38412675,8937455.167347785,100000000.0,52341312.44205561,65077641.09014037,23924366.90403682,0.0,0.0
계좌순,54,5000000.0,0.0,264488047.16922304,26220221.204253793,17075336.38412675,9144884.820127044,100000000.0,53556103.46059206,60077641.09014037,24634081.414236814,0.0,0.0
계좌순,55,5000000.0,0.0,261597111.99911696,26429304.930213433,17075336.38412675,9353968.546086684,100000000.0,54780581.39330211,55077641.09014037,25309584.58546105,0.0,0.0
계좌순,56,5000000.0,0.0,258683124.10599357,26640055.919165272,17075336.38412675,9564719.535038523,100000000.0,56014823.48499966,50077641.09014037,25950603.61168827,0.0,0.0
계좌순,57,5000000.0,0.0,255745899.66420233,26852487.466098543,17075336.38412675,9777151.081971794,100000000.0,57258907.59645969,45077641.09014037,26556863.51150371,0.0,0.0
