시작연도,매수방식,경과개월,날짜,월봉종가(달러),원달러환율,매수신호,인출전현금(원),인출전보유수량,요청인출액(원),실제인출액(원),매도수량,매수액(원),월말현금(원),월말보유수량,월말주식평가액(원),월말총잔액(원)
2006,분할매수,40,2009-04-30,29.606462478637695,1277.0,분할매수,0.0,1956.588071643877,1000000.0,1000000.0,26.44981165408958,0.0,0.0,1930.1382599897872,72973610.74748357,72973610.74748357
2006,분할매수,41,2009-05-31,30.55649185180664,1249.0,분할매수,0.0,1930.1382599897872,1000000.0,1000000.0,26.20197751407089,0.0,0.0,1903.9362824757163,72663839.26378348,72663839.26378348
2006,분할매수,42,2009-06-30,31.458791732788086,1273.5,분할매수,0.0,1903.9362824757163,1000000.0,1000000.0,24.960829424854367,0.0,0.0,1878.975453050862,75276963.80072615,75276963.80072615
2006,분할매수,43,2009-07-31,34.1135139465332,1222.2,분할매수,0.0,1878.975453050862,1000000.0,1000000.0,23.984532809130435,0.0,0.0,1854.9909202417314,77341132.09558009,77341132.09558009
2006,분할매수,44,2009-08-31,34.61506652832031,1248.0,분할매수,0.0,1854.9909202417314,1000000.0,1000000.0,23.14836086264582,0.0,0.0,1831.8425593790855,79134871.37376986,79134871.37376986
2006,분할매수,45,2009-09-30,36.57012939453125,1175.0,분할매수,0.0,1831.8425593790855,1000000.0,1000000.0,23.272103322513903,0.0,0.0,1808.5704560565716,77714095.32661037,77714095.32661037
2006,분할매수,46,2009-10-31,35.453514099121094,1182.0,분할매수,0.0,1808.5704560565716,1000000.0,1000000.0,23.862900763460733,0.0,0.0,1784.707555293111,74790050.58873163,74790050.58873163
2006,분할매수,47,2009-11-30,37.70401382446289,1164.4,분할매수,0.0,1784.707555293111,1000000.0,1000000.0,22.77771828256252,0.0,0.0,1761.9298370105485,77353219.28006254,77353219.28006254
2006,분할매수,48,2009-12-31,39.6656608581543,1163.65,분할매수,0.0,1761.9298370105485,1000000.0,1000000.0,21.665211437932467,0.0,0.0,1740.264625572616,80325300.79654239,80325300.79654239
2006,분할매수,49,2010-01-31,37.09931564331055,1158.7,분할매수,0.0,1740.264625572616,1000000.0,1000000.0,23.262859334462433,0.0,0.0,1717.0017662381536,73808715.495886,73808715.495886
2006,분할매수,50,2010-02-28,38.807308197021484,1159.0,분할매수,0.0,1717.0017662381536,1000000.0,1000000.0,22.233254758319276,0.0,0.0,1694.7685114798342,76226739.1752745,76226739.1752745
2006,분할매수,51,2010-03-31,41.79971694946289,1131.2,분할매수,0.0,1694.7685114798342,1000000.0,1000000.0,21.14887462502885,0.0,0.0,1673.6196368548053,79135162.81732284,79135162.81732284
2006,분할매수,52,2010-04-30,42.73711395263672,1108.0,분할매수,0.0,1673.6196368548053,1000000.0,1000000.0,21.118110053301617,0.0,0.0,1652.5015268015038,78250445.8320668,78250445.8320668
2006,분할매수,53,2010-05-31,39.57781982421875,1194.5,분할매수,0.0,1652.5015268015038,1000000.0,1000000.0,21.152513399861935,0.0,0.0,1631.349013401642,77123175.9821171,77123175.9821171
2006,분할매수,54,2010-06-30,37.2127685546875,1220.85,분할매수,0.0,1631.349013401642,1000000.0,1000000.0,22.01130089287253,0.0,0.0,1609.3377125087695,73114157.14778987,73114157.14778987
2006,분할매수,55,2010-07-31,39.91375732421875,1182.0,분할매수,0.0,1609.3377125087695,1000000.0,1000000.0,21.1962928418652,0.0,0.0,1588.1414196669043,74925433.02336983,74925433.02336983
2006,분할매수,56,2010-08-31,37.866241455078125,1198.0,분할매수,0.0,1588.1414196669043,1000000.0,1000000.0,22.044029426362837,0.0,0.0,1566.0973902405415,71044061.86137724,71044061.86137724
2006,분할매수,57,2010-09-30,42.854286193847656,1140.1,분할매수,0.0,1566.0973902405415,1000000.0,1000000.0,20.46740525521433,0.0,0.0,1545.6299849853272,75516655.1750158,75516655.1750158
2006,분할매수,58,2010-10-31,45.57033157348633,1124.0,분할매수,0.0,1545.6299849853272,1000000.0,1000000.0,19.523222337493884,0.0,0.0,1526.1067626478332,78168794.89801136,78168794.89801136
2006,분할매수,59,2010-11-30,45.49174118041992,1157.2,분할매수,0.0,1526.1067626478332,1000000.0,1000000.0,18.995862416500213,0.0,0.0,1507.110900231333,79338903.76686579,79338903.76686579
2006,분할매수,60,2010-12-31,47.65584182739258,1130.6,분할매수,0.0,1507.110900231333,1000000.0,1000000.0,18.55986757660452,0.0,0.0,1488.5510326547285,80202675.28907956,80202675.28907956
2006,분할매수,61,2011-01-31,49.0034294128418,1119.1,분할매수,0.0,1488.5510326547285,1000000.0,1000000.0,18.234952228025808,0.0,0.0,1470.3160804267027,80631748.4159313,80631748.4159313
2006,분할매수,62,2011-02-28,50.552284240722656,1123.7,분할매수,0.0,1470.3160804267027,1000000.0,1000000.0,17.603897649001123,0.0,0.0,1452.7121827777016,82522189.78676753,82522189.78676753
2006,분할매수,63,2011-03-31,50.325679779052734,1097.25,분할매수,0.0,1452.7121827777016,1000000.0,1000000.0,18.109429150747548,0.0,0.0,1434.6027536269542,79218551.93142489,79218551.93142489
2006,분할매수,64,2011-04-30,51.771575927734375,1068.4,분할매수,0.0,1434.6027536269542,1000000.0,1000000.0,18.07901376956591,0.0,0.0,1416.5237398573881,78351825.92990524,78351825.92990524
2006,분할매수,65,2011-05-31,51.140621185302734,1078.0,분할매수,0.0,1416.5237398573881,1000000.0,1000000.0,18.139079332365185,0.0,0.0,1398.384660525023,77092372.49047774,77092372.49047774
2006,분할매수,66,2011-06-30,50.10478973388672,1066.3,분할매수,0.0,1398.384660525023,1000000.0,1000000.0,18.717220078615295,0.0,0.0,1379.6674404464077,73711129.89277177,73711129.89277177
2006,분할매수,67,2011-07-31,50.93915557861328,1054.0,분할매수,0.0,1379.6674404464077,1000000.0,1000000.0,18.625487459275785,0.0,0.0,1361.041952987132,73074165.49301167,73074165.49301167
2006,분할매수,68,2011-08-31,48.3570671081543,1063.9,분할매수,0.0,1361.041952987132,1000000.0,1000000.0,19.437447725936856,0.0,0.0,1341.604505261195,69021639.26959354,69021639.26959354
2006,분할매수,69,2011-09-30,46.185420989990234,1180.9,분할매수,0.0,1341.604505261195,1000000.0,1000000.0,18.33504460056067,0.0,0.0,1323.2694606606344,72171597.58750573,72171597.58750573
